 iteration 1
Iter = 	20	 relative error = 	1.0983	 diff_step = 	15442176.8098	 diff = 	6861954.365	 diff1 = 	6861954.365
Iter = 	40	 relative error = 	1.0335	 diff_step = 	575988.0034	 diff = 	5895102.3653	 diff1 = 	5895102.3653
Iter = 	60	 relative error = 	0.9685	 diff_step = 	574662.1153	 diff = 	5052458.8102	 diff1 = 	5052458.8102
Iter = 	80	 relative error = 	0.92775	 diff_step = 	393701.1034	 diff = 	4575920.5419	 diff1 = 	4575920.5419
Iter = 	100	 relative error = 	0.90222	 diff_step = 	263748.3598	 diff = 	4296114.2281	 diff1 = 	4296114.2281
Iter = 	120	 relative error = 	0.88403	 diff_step = 	198640.3774	 diff = 	4108519.9022	 diff1 = 	4108519.9022
Iter = 	140	 relative error = 	0.87059	 diff_step = 	155818.5688	 diff = 	3976966.6064	 diff1 = 	3976966.6064
Iter = 	160	 relative error = 	0.86048	 diff_step = 	124796.3759	 diff = 	3881833.0041	 diff1 = 	3881833.0041
Iter = 	180	 relative error = 	0.85281	 diff_step = 	102380.2768	 diff = 	3810739.3253	 diff1 = 	3810739.3253
Iter = 	200	 relative error = 	0.84683	 diff_step = 	85897.3146	 diff = 	3756020.0615	 diff1 = 	3756020.0615
Iter = 	220	 relative error = 	0.8421	 diff_step = 	73507.6533	 diff = 	3712864.3183	 diff1 = 	3712864.3183
Iter = 	240	 relative error = 	0.8383	 diff_step = 	63853.6571	 diff = 	3678159.3779	 diff1 = 	3678159.3779
Iter = 	260	 relative error = 	0.83518	 diff_step = 	56126.8201	 diff = 	3649741.2089	 diff1 = 	3649741.2089
Iter = 	280	 relative error = 	0.83259	 diff_step = 	50019.3318	 diff = 	3626054.21	 diff1 = 	3626054.21
Iter = 	300	 relative error = 	0.83039	 diff_step = 	45015.0111	 diff = 	3606026.539	 diff1 = 	3606026.539
Iter = 	320	 relative error = 	0.8285	 diff_step = 	40909.9862	 diff = 	3588839.5072	 diff1 = 	3588839.5072
Iter = 	340	 relative error = 	0.82686	 diff_step = 	37557.027	 diff = 	3573898.8262	 diff1 = 	3573898.8262
Iter = 	360	 relative error = 	0.82542	 diff_step = 	34664.311	 diff = 	3560786.025	 diff1 = 	3560786.025
Iter = 	380	 relative error = 	0.82412	 diff_step = 	32195.7961	 diff = 	3549164.7583	 diff1 = 	3549164.7583
Iter = 	400	 relative error = 	0.82297	 diff_step = 	30057.8101	 diff = 	3538781.3965	 diff1 = 	3538781.3965
Iter = 	420	 relative error = 	0.82193	 diff_step = 	28170.0041	 diff = 	3529443.1895	 diff1 = 	3529443.1895
Iter = 	440	 relative error = 	0.82096	 diff_step = 	26500.7921	 diff = 	3520989.097	 diff1 = 	3520989.097
Iter = 	460	 relative error = 	0.82005	 diff_step = 	25025.489	 diff = 	3513284.8762	 diff1 = 	3513284.8762
Iter = 	480	 relative error = 	0.81921	 diff_step = 	23755.1955	 diff = 	3506225.5444	 diff1 = 	3506225.5444
Iter = 	500	 relative error = 	0.81843	 diff_step = 	22602.8562	 diff = 	3499720.3355	 diff1 = 	3499720.3355
Iter = 	520	 relative error = 	0.81769	 diff_step = 	21576.6537	 diff = 	3493698.8268	 diff1 = 	3493698.8268
