 iteration 1
Iter = 	20	 relative error = 	1.0694	 diff_step = 	1596840.7989	 diff = 	5084225.2973	 diff1 = 	5084225.2973
Iter = 	40	 relative error = 	1.0539	 diff_step = 	261333.7655	 diff = 	4932475.0823	 diff1 = 	4932475.0823
Iter = 	60	 relative error = 	1.0485	 diff_step = 	139672.1819	 diff = 	4875149.7576	 diff1 = 	4875149.7576
Iter = 	80	 relative error = 	1.0461	 diff_step = 	85369.7926	 diff = 	4848832.2651	 diff1 = 	4848832.2651
Iter = 	100	 relative error = 	1.0448	 diff_step = 	56558.4438	 diff = 	4835241.7101	 diff1 = 	4835241.7101
Iter = 	120	 relative error = 	1.044	 diff_step = 	39670.9288	 diff = 	4827503.5129	 diff1 = 	4827503.5129
Iter = 	140	 relative error = 	1.0435	 diff_step = 	29659.6199	 diff = 	4822703.8582	 diff1 = 	4822703.8582
Iter = 	160	 relative error = 	1.0431	 diff_step = 	23340.1678	 diff = 	4819550.8078	 diff1 = 	4819550.8078
Iter = 	180	 relative error = 	1.0428	 diff_step = 	18978.3563	 diff = 	4817392.0096	 diff1 = 	4817392.0096
Iter = 	200	 relative error = 	1.0426	 diff_step = 	15847.413	 diff = 	4815851.1467	 diff1 = 	4815851.1467
Iter = 	220	 relative error = 	1.0425	 diff_step = 	13517.1016	 diff = 	4814712.959	 diff1 = 	4814712.959
Iter = 	240	 relative error = 	1.0423	 diff_step = 	11707.5567	 diff = 	4813847.4528	 diff1 = 	4813847.4528
Iter = 	260	 relative error = 	1.0422	 diff_step = 	10263.661	 diff = 	4813172.9007	 diff1 = 	4813172.9007
Iter = 	280	 relative error = 	1.0421	 diff_step = 	9087.7787	 diff = 	4812637.9671	 diff1 = 	4812637.9671
Iter = 	300	 relative error = 	1.042	 diff_step = 	8107.6696	 diff = 	4812209.0425	 diff1 = 	4812209.0425
Iter = 	320	 relative error = 	1.042	 diff_step = 	7276.0939	 diff = 	4811862.5085	 diff1 = 	4811862.5085
Iter = 	340	 relative error = 	1.0419	 diff_step = 	6552.3043	 diff = 	4811580.6384	 diff1 = 	4811580.6384
Iter = 	360	 relative error = 	1.0419	 diff_step = 	5917.4206	 diff = 	4811349.2691	 diff1 = 	4811349.2691
Iter = 	380	 relative error = 	1.0418	 diff_step = 	5361.8501	 diff = 	4811157.1037	 diff1 = 	4811157.1037
