 iteration 1
Iter = 	20	 relative error = 	1.099	 diff_step = 	15402068.5502	 diff = 	6852637.2848	 diff1 = 	6852637.2848
Iter = 	40	 relative error = 	1.0185	 diff_step = 	727892.6686	 diff = 	5668073.8597	 diff1 = 	5668073.8597
Iter = 	60	 relative error = 	0.95431	 diff_step = 	625939.8444	 diff = 	4862870.2296	 diff1 = 	4862870.2296
Iter = 	80	 relative error = 	0.91794	 diff_step = 	386395.7009	 diff = 	4452600.3957	 diff1 = 	4452600.3957
Iter = 	100	 relative error = 	0.8943	 diff_step = 	266224.4803	 diff = 	4211616.866	 diff1 = 	4211616.866
Iter = 	120	 relative error = 	0.87756	 diff_step = 	197707.6799	 diff = 	4052470.6574	 diff1 = 	4052470.6574
Iter = 	140	 relative error = 	0.86516	 diff_step = 	155618.1516	 diff = 	3938972.0638	 diff1 = 	3938972.0638
Iter = 	160	 relative error = 	0.85572	 diff_step = 	126703.4467	 diff = 	3854443.312	 diff1 = 	3854443.312
Iter = 	180	 relative error = 	0.84841	 diff_step = 	105442.511	 diff = 	3789705.8857	 diff1 = 	3789705.8857
Iter = 	200	 relative error = 	0.84264	 diff_step = 	89417.8082	 diff = 	3738826.3666	 diff1 = 	3738826.3666
Iter = 	220	 relative error = 	0.83802	 diff_step = 	77445.5063	 diff = 	3697884.8489	 diff1 = 	3697884.8489
Iter = 	240	 relative error = 	0.83426	 diff_step = 	68166.3158	 diff = 	3664323.9906	 diff1 = 	3664323.9906
Iter = 	260	 relative error = 	0.83117	 diff_step = 	60723.1085	 diff = 	3636398.7376	 diff1 = 	3636398.7376
Iter = 	280	 relative error = 	0.82858	 diff_step = 	54582.4666	 diff = 	3612914.7599	 diff1 = 	3612914.7599
Iter = 	300	 relative error = 	0.82638	 diff_step = 	49270.4081	 diff = 	3592973.2223	 diff1 = 	3592973.2223
Iter = 	320	 relative error = 	0.82452	 diff_step = 	44874.457	 diff = 	3575854.2832	 diff1 = 	3575854.2832
Iter = 	340	 relative error = 	0.82293	 diff_step = 	41226.671	 diff = 	3561010.0756	 diff1 = 	3561010.0756
