 iteration 1
Iter = 	20	 relative error = 	1.0682	 diff_step = 	1597117.4357	 diff = 	5072951.5827	 diff1 = 	5072951.5827
Iter = 	40	 relative error = 	1.0529	 diff_step = 	270342.7697	 diff = 	4923802.7484	 diff1 = 	4923802.7484
Iter = 	60	 relative error = 	1.0476	 diff_step = 	144746.5914	 diff = 	4868210.0481	 diff1 = 	4868210.0481
Iter = 	80	 relative error = 	1.0453	 diff_step = 	88742.8151	 diff = 	4842991.6582	 diff1 = 	4842991.6582
Iter = 	100	 relative error = 	1.0441	 diff_step = 	58852.3745	 diff = 	4830180.1693	 diff1 = 	4830180.1693
Iter = 	120	 relative error = 	1.0434	 diff_step = 	41352.1379	 diff = 	4822976.1994	 diff1 = 	4822976.1994
Iter = 	140	 relative error = 	1.0429	 diff_step = 	30957.5869	 diff = 	4818563.4219	 diff1 = 	4818563.4219
Iter = 	160	 relative error = 	1.0425	 diff_step = 	24343.7729	 diff = 	4815706.3	 diff1 = 	4815706.3
Iter = 	180	 relative error = 	1.0423	 diff_step = 	19748.1397	 diff = 	4813779.4391	 diff1 = 	4813779.4391
Iter = 	200	 relative error = 	1.0421	 diff_step = 	16436.3748	 diff = 	4812423.143	 diff1 = 	4812423.143
Iter = 	220	 relative error = 	1.0419	 diff_step = 	13979.3581	 diff = 	4811433.4139	 diff1 = 	4811433.4139
Iter = 	240	 relative error = 	1.0418	 diff_step = 	12092.7809	 diff = 	4810688.5163	 diff1 = 	4810688.5163
Iter = 	260	 relative error = 	1.0417	 diff_step = 	10596.9775	 diff = 	4810112.9396	 diff1 = 	4810112.9396
Iter = 	280	 relative error = 	1.0416	 diff_step = 	9383.2727	 diff = 	4809658.7754	 diff1 = 	4809658.7754
Iter = 	300	 relative error = 	1.0415	 diff_step = 	8379.5754	 diff = 	4809295.9007	 diff1 = 	4809295.9007
Iter = 	320	 relative error = 	1.0414	 diff_step = 	7527.6	 diff = 	4809004.1615	 diff1 = 	4809004.1615
Iter = 	340	 relative error = 	1.0414	 diff_step = 	6787.9057	 diff = 	4808767.8907	 diff1 = 	4808767.8907
Iter = 	360	 relative error = 	1.0413	 diff_step = 	6145.8917	 diff = 	4808574.186	 diff1 = 	4808574.186
Iter = 	380	 relative error = 	1.0413	 diff_step = 	5589.45	 diff = 	4808413.4775	 diff1 = 	4808413.4775
Iter = 	400	 relative error = 	1.0412	 diff_step = 	5097.9965	 diff = 	4808279.0431	 diff1 = 	4808279.0431
Iter = 	420	 relative error = 	1.0412	 diff_step = 	4659.9353	 diff = 	4808165.6371	 diff1 = 	4808165.6371
Iter = 	440	 relative error = 	1.0412	 diff_step = 	4269.5669	 diff = 	4808069.0928	 diff1 = 	4808069.0928
Iter = 	460	 relative error = 	1.0411	 diff_step = 	3921.3804	 diff = 	4807986.4949	 diff1 = 	4807986.4949
Iter = 	480	 relative error = 	1.0411	 diff_step = 	3607.5331	 diff = 	4807915.4041	 diff1 = 	4807915.4041
Iter = 	500	 relative error = 	1.0411	 diff_step = 	3326.9308	 diff = 	4807853.5959	 diff1 = 	4807853.5959
Iter = 	520	 relative error = 	1.0411	 diff_step = 	3079.5498	 diff = 	4807799.3023	 diff1 = 	4807799.3023
Iter = 	540	 relative error = 	1.0411	 diff_step = 	2862.483	 diff = 	4807751.1743	 diff1 = 	4807751.1743
Iter = 	560	 relative error = 	1.041	 diff_step = 	2672.3625	 diff = 	4807708.1573	 diff1 = 	4807708.1573
Iter = 	580	 relative error = 	1.041	 diff_step = 	2504.4982	 diff = 	4807670.0242	 diff1 = 	4807670.0242
Iter = 	600	 relative error = 	1.041	 diff_step = 	2347.1002	 diff = 	4807636.8065	 diff1 = 	4807636.8065
Iter = 	620	 relative error = 	1.041	 diff_step = 	2198.3318	 diff = 	4807607.8604	 diff1 = 	4807607.8604
Iter = 	640	 relative error = 	1.041	 diff_step = 	2061.3749	 diff = 	4807582.5987	 diff1 = 	4807582.5987
Iter = 	660	 relative error = 	1.041	 diff_step = 	1932.4886	 diff = 	4807560.6619	 diff1 = 	4807560.6619
Iter = 	680	 relative error = 	1.041	 diff_step = 	1808.9128	 diff = 	4807541.5789	 diff1 = 	4807541.5789
Iter = 	700	 relative error = 	1.041	 diff_step = 	1694.6761	 diff = 	4807524.8972	 diff1 = 	4807524.8972
Iter = 	720	 relative error = 	1.041	 diff_step = 	1589.4386	 diff = 	4807510.2688	 diff1 = 	4807510.2688
Iter = 	740	 relative error = 	1.041	 diff_step = 	1492.1304	 diff = 	4807497.3511	 diff1 = 	4807497.3511
Iter = 	760	 relative error = 	1.041	 diff_step = 	1402.9719	 diff = 	4807485.8201	 diff1 = 	4807485.8201
Iter = 	780	 relative error = 	1.041	 diff_step = 	1322.5156	 diff = 	4807475.4052	 diff1 = 	4807475.4052
Iter = 	800	 relative error = 	1.041	 diff_step = 	1250.4985	 diff = 	4807465.9401	 diff1 = 	4807465.9401
Iter = 	820	 relative error = 	1.0409	 diff_step = 	1185.2003	 diff = 	4807457.347	 diff1 = 	4807457.347
Iter = 	840	 relative error = 	1.0409	 diff_step = 	1125.7406	 diff = 	4807449.4822	 diff1 = 	4807449.4822
Iter = 	860	 relative error = 	1.0409	 diff_step = 	1071.5627	 diff = 	4807442.2376	 diff1 = 	4807442.2376
Iter = 	880	 relative error = 	1.0409	 diff_step = 	1021.9032	 diff = 	4807435.509	 diff1 = 	4807435.509
Iter = 	900	 relative error = 	1.0409	 diff_step = 	977.7317	 diff = 	4807429.2319	 diff1 = 	4807429.2319
Iter = 	920	 relative error = 	1.0409	 diff_step = 	937.9926	 diff = 	4807423.4081	 diff1 = 	4807423.4081
Iter = 	940	 relative error = 	1.0409	 diff_step = 	901.914	 diff = 	4807417.9643	 diff1 = 	4807417.9643
Iter = 	960	 relative error = 	1.0409	 diff_step = 	869.6234	 diff = 	4807412.8284	 diff1 = 	4807412.8284
Iter = 	980	 relative error = 	1.0409	 diff_step = 	840.5569	 diff = 	4807408.0102	 diff1 = 	4807408.0102
