 iteration 1
Iter = 	20	 relative error = 	0.0024608	 diff_step = 	6444035.211	 diff = 	3905.8231	 diff1 = 	3771.5247	 diff2 = 	-1.8244e-06	 diff3 = 	-3.8675e-05	 diff4 = 	0.0015515	 diff5 = 	0.41983	 diff6 = 	133.877	 diff7 = 	134.2968
Iter = 	40	 relative error = 	0.0010505	 diff_step = 	2652.8681	 diff = 	1479.0905	 diff1 = 	1390.7448	 diff2 = 	-1.4229e-06	 diff3 = 	-3.6054e-05	 diff4 = 	0.0018662	 diff5 = 	0.32334	 diff6 = 	88.0206	 diff7 = 	88.344
Iter = 	60	 relative error = 	0.00059365	 diff_step = 	1233.0726	 diff = 	961.9742	 diff1 = 	879.1321	 diff2 = 	-1.2646e-06	 diff3 = 	-3.0602e-05	 diff4 = 	0.0022222	 diff5 = 	0.2867	 diff6 = 	82.5532	 diff7 = 	82.8399
Iter = 	80	 relative error = 	0.00043653	 diff_step = 	696.2985	 diff = 	838.5555	 diff1 = 	749.6169	 diff2 = 	-1.1412e-06	 diff3 = 	-2.7124e-05	 diff4 = 	0.0027974	 diff5 = 	0.26935	 diff6 = 	88.6665	 diff7 = 	88.9358
Iter = 	100	 relative error = 	0.00038669	 diff_step = 	456.8846	 diff = 	803.4248	 diff1 = 	711.7529	 diff2 = 	-1.0719e-06	 diff3 = 	-2.4666e-05	 diff4 = 	0.0034553	 diff5 = 	0.25551	 diff6 = 	91.413	 diff7 = 	91.6685
Iter = 	120	 relative error = 	0.00037707	 diff_step = 	348.3806	 diff = 	791.3771	 diff1 = 	697.6148	 diff2 = 	-1.0289e-06	 diff3 = 	-2.3278e-05	 diff4 = 	0.0039889	 diff5 = 	0.24572	 diff6 = 	93.5125	 diff7 = 	93.7583
Iter = 	140	 relative error = 	0.00037111	 diff_step = 	298.968	 diff = 	786.8831	 diff1 = 	689.7424	 diff2 = 	-9.886e-07	 diff3 = 	-2.2232e-05	 diff4 = 	0.0045139	 diff5 = 	0.24012	 diff6 = 	96.896	 diff7 = 	97.1362
Iter = 	160	 relative error = 	0.00036799	 diff_step = 	271.6316	 diff = 	785.2782	 diff1 = 	683.9419	 diff2 = 	-9.1382e-07	 diff3 = 	-2.1445e-05	 diff4 = 	0.0049746	 diff5 = 	0.23722	 diff6 = 	101.0942	 diff7 = 	101.3314
Iter = 	180	 relative error = 	0.00036604	 diff_step = 	252.2545	 diff = 	783.6043	 diff1 = 	679.0178	 diff2 = 	-7.3341e-07	 diff3 = 	-2.1302e-05	 diff4 = 	0.0054279	 diff5 = 	0.23493	 diff6 = 	104.3462	 diff7 = 	104.5811
Iter = 	200	 relative error = 	0.00036251	 diff_step = 	233.6927	 diff = 	781.7433	 diff1 = 	674.5109	 diff2 = 	-6.8595e-07	 diff3 = 	-2.4492e-05	 diff4 = 	0.0058245	 diff5 = 	0.23282	 diff6 = 	106.9938	 diff7 = 	107.2266
Iter = 	220	 relative error = 	0.00036025	 diff_step = 	214.3908	 diff = 	778.9532	 diff1 = 	670.463	 diff2 = 	-6.6933e-07	 diff3 = 	-2.4795e-05	 diff4 = 	0.0062206	 diff5 = 	0.23015	 diff6 = 	108.2538	 diff7 = 	108.484
Iter = 	240	 relative error = 	0.00035862	 diff_step = 	199.0815	 diff = 	776.897	 diff1 = 	667.1586	 diff2 = 	-6.7838e-07	 diff3 = 	-2.543e-05	 diff4 = 	0.0065749	 diff5 = 	0.22805	 diff6 = 	109.5038	 diff7 = 	109.7319
Iter = 	260	 relative error = 	0.00035705	 diff_step = 	184.4257	 diff = 	775.3899	 diff1 = 	664.5728	 diff2 = 	-7.0862e-07	 diff3 = 	-2.6361e-05	 diff4 = 	0.0068804	 diff5 = 	0.22651	 diff6 = 	110.5837	 diff7 = 	110.8102
