 iteration 1
Iter = 	20	 relative error = 	5.6173	 diff_step = 	20589870.9419	 diff = 	31162.6941	 diff1 = 	29684.0608	 diff2 = 	-3.9202e-06	 diff3 = 	-9.0577e-05	 diff4 = 	0.00019782	 diff5 = 	0.26882	 diff6 = 	1478.3643	 diff7 = 	1478.6331
Iter = 	40	 relative error = 	3.3769	 diff_step = 	5967.4784	 diff = 	9748.1535	 diff1 = 	9402.8894	 diff2 = 	-2.1177e-06	 diff3 = 	-4.5521e-05	 diff4 = 	0.00021643	 diff5 = 	0.13009	 diff6 = 	345.1338	 diff7 = 	345.2639
Iter = 	60	 relative error = 	2.04	 diff_step = 	3091.3242	 diff = 	3730.1844	 diff1 = 	3594.8896	 diff2 = 	-1.8052e-06	 diff3 = 	-3.6672e-05	 diff4 = 	0.00030136	 diff5 = 	0.081483	 diff6 = 	135.213	 diff7 = 	135.2945
Iter = 	80	 relative error = 	1.2043	 diff_step = 	1753.1226	 diff = 	1797.9184	 diff1 = 	1729.7726	 diff2 = 	-1.6086e-06	 diff3 = 	-3.1029e-05	 diff4 = 	0.00043901	 diff5 = 	0.057769	 diff6 = 	68.0877	 diff7 = 	68.1454
Iter = 	100	 relative error = 	0.69141	 diff_step = 	1018.8087	 diff = 	1161.3053	 diff1 = 	1120.061	 diff2 = 	-1.4717e-06	 diff3 = 	-2.7096e-05	 diff4 = 	0.00058287	 diff5 = 	0.04485	 diff6 = 	41.1989	 diff7 = 	41.2437
Iter = 	120	 relative error = 	0.38449	 diff_step = 	595.046	 diff = 	955.6679	 diff1 = 	926.7583	 diff2 = 	-1.3826e-06	 diff3 = 	-2.4347e-05	 diff4 = 	0.00072521	 diff5 = 	0.037451	 diff6 = 	28.8715	 diff7 = 	28.9089
Iter = 	140	 relative error = 	0.20887	 diff_step = 	389.4457	 diff = 	887.9982	 diff1 = 	865.3673	 diff2 = 	-1.3439e-06	 diff3 = 	-2.2404e-05	 diff4 = 	0.00086495	 diff5 = 	0.03301	 diff6 = 	22.597	 diff7 = 	22.63
Iter = 	160	 relative error = 	0.11361	 diff_step = 	351.1917	 diff = 	857.5577	 diff1 = 	838.2489	 diff2 = 	-1.3334e-06	 diff3 = 	-2.1008e-05	 diff4 = 	0.0010149	 diff5 = 	0.030244	 diff6 = 	19.2776	 diff7 = 	19.3078
Iter = 	180	 relative error = 	0.064419	 diff_step = 	385.8163	 diff = 	833.0784	 diff1 = 	815.3323	 diff2 = 	-1.33e-06	 diff3 = 	-2.0045e-05	 diff4 = 	0.0011857	 diff5 = 	0.028496	 diff6 = 	17.7164	 diff7 = 	17.7449
Iter = 	200	 relative error = 	0.043065	 diff_step = 	390.5528	 diff = 	815.1059	 diff1 = 	797.9012	 diff2 = 	-1.3439e-06	 diff3 = 	-1.9448e-05	 diff4 = 	0.0013398	 diff5 = 	0.027334	 diff6 = 	17.1761	 diff7 = 	17.2034
Iter = 	220	 relative error = 	0.033859	 diff_step = 	318.4288	 diff = 	805.4601	 diff1 = 	788.5235	 diff2 = 	-1.3524e-06	 diff3 = 	-1.9076e-05	 diff4 = 	0.0014692	 diff5 = 	0.026506	 diff6 = 	16.9086	 diff7 = 	16.9351
Iter = 	240	 relative error = 	0.02998	 diff_step = 	244.7683	 diff = 	799.8477	 diff1 = 	783.1774	 diff2 = 	-1.3458e-06	 diff3 = 	-1.881e-05	 diff4 = 	0.001596	 diff5 = 	0.02589	 diff6 = 	16.6428	 diff7 = 	16.6687
Iter = 	260	 relative error = 	0.028543	 diff_step = 	206.0036	 diff = 	795.4758	 diff1 = 	779.0354	 diff2 = 	-1.3223e-06	 diff3 = 	-1.8592e-05	 diff4 = 	0.0017172	 diff5 = 	0.025423	 diff6 = 	16.4133	 diff7 = 	16.4387
Iter = 	280	 relative error = 	0.029039	 diff_step = 	190.5731	 diff = 	791.2895	 diff1 = 	774.9947	 diff2 = 	-1.2889e-06	 diff3 = 	-1.8442e-05	 diff4 = 	0.0018453	 diff5 = 	0.02507	 diff6 = 	16.2679	 diff7 = 	16.293
