 iteration 1
Iter = 	20	 relative error = 	2.0726	 diff_step = 	35767006.0477	 diff = 	3974.043	 diff1 = 	3827.3248	 diff2 = 	-1.3778e-06	 diff3 = 	-4.9353e-05	 diff4 = 	0.00020575	 diff5 = 	0.60824	 diff6 = 	146.1098	 diff7 = 	146.718
Iter = 	40	 relative error = 	1.2948	 diff_step = 	1308.7621	 diff = 	2177.5481	 diff1 = 	2065.0369	 diff2 = 	-1.4947e-06	 diff3 = 	-4.6377e-05	 diff4 = 	0.00036512	 diff5 = 	0.51309	 diff6 = 	111.9978	 diff7 = 	112.5109
Iter = 	60	 relative error = 	0.79191	 diff_step = 	1255.5435	 diff = 	1393.4684	 diff1 = 	1281.1676	 diff2 = 	-1.4194e-06	 diff3 = 	-3.978e-05	 diff4 = 	0.00057792	 diff5 = 	0.44835	 diff6 = 	111.8519	 diff7 = 	112.3002
Iter = 	80	 relative error = 	0.49192	 diff_step = 	1052.4228	 diff = 	1075.6505	 diff1 = 	962.3011	 diff2 = 	-1.3167e-06	 diff3 = 	-3.5026e-05	 diff4 = 	0.00082466	 diff5 = 	0.39958	 diff6 = 	112.949	 diff7 = 	113.3486
Iter = 	100	 relative error = 	0.31651	 diff_step = 	685.5801	 diff = 	950.5592	 diff1 = 	836.7852	 diff2 = 	-1.2651e-06	 diff3 = 	-3.2437e-05	 diff4 = 	0.00098315	 diff5 = 	0.36325	 diff6 = 	113.4098	 diff7 = 	113.773
Iter = 	120	 relative error = 	0.20202	 diff_step = 	447.2377	 diff = 	902.1217	 diff1 = 	786.776	 diff2 = 	-1.1853e-06	 diff3 = 	-3.0407e-05	 diff4 = 	0.00108	 diff5 = 	0.33748	 diff6 = 	115.0072	 diff7 = 	115.3447
Iter = 	140	 relative error = 	0.14165	 diff_step = 	319.8576	 diff = 	882.6445	 diff1 = 	766.5009	 diff2 = 	-1.0907e-06	 diff3 = 	-2.8533e-05	 diff4 = 	0.001246	 diff5 = 	0.3172	 diff6 = 	115.8251	 diff7 = 	116.1424
Iter = 	160	 relative error = 	0.11398	 diff_step = 	247.6218	 diff = 	874.3619	 diff1 = 	757.5261	 diff2 = 	-9.7698e-07	 diff3 = 	-2.6869e-05	 diff4 = 	0.0014441	 diff5 = 	0.30123	 diff6 = 	116.5332	 diff7 = 	116.8344
Iter = 	180	 relative error = 	0.10024	 diff_step = 	202.8433	 diff = 	870.5701	 diff1 = 	753.0775	 diff2 = 	-8.2702e-07	 diff3 = 	-2.5387e-05	 diff4 = 	0.0016601	 diff5 = 	0.28832	 diff6 = 	117.2026	 diff7 = 	117.4909
Iter = 	200	 relative error = 	0.091214	 diff_step = 	173.5529	 diff = 	868.5523	 diff1 = 	750.4738	 diff2 = 	-7.1974e-07	 diff3 = 	-2.4141e-05	 diff4 = 	0.0018853	 diff5 = 	0.27763	 diff6 = 	117.799	 diff7 = 	118.0766
Iter = 	220	 relative error = 	0.084388	 diff_step = 	152.8972	 diff = 	867.1529	 diff1 = 	748.6353	 diff2 = 	-6.7436e-07	 diff3 = 	-2.3007e-05	 diff4 = 	0.0021145	 diff5 = 	0.26861	 diff6 = 	118.2469	 diff7 = 	118.5155
Iter = 	240	 relative error = 	0.07882	 diff_step = 	139.4872	 diff = 	865.9134	 diff1 = 	747.0266	 diff2 = 	-6.4757e-07	 diff3 = 	-2.165e-05	 diff4 = 	0.0023503	 diff5 = 	0.26092	 diff6 = 	118.6236	 diff7 = 	118.8845
Iter = 	260	 relative error = 	0.074621	 diff_step = 	129.8013	 diff = 	864.4509	 diff1 = 	745.2212	 diff2 = 	-6.2621e-07	 diff3 = 	-2.067e-05	 diff4 = 	0.002617	 diff5 = 	0.25414	 diff6 = 	118.9729	 diff7 = 	119.2271
Iter = 	280	 relative error = 	0.07099	 diff_step = 	119.6468	 diff = 	862.6036	 diff1 = 	743.0732	 diff2 = 	-6.0796e-07	 diff3 = 	-1.9924e-05	 diff4 = 	0.0029166	 diff5 = 	0.24791	 diff6 = 	119.2796	 diff7 = 	119.5275
Iter = 	300	 relative error = 	0.067723	 diff_step = 	108.9462	 diff = 	861.4657	 diff1 = 	741.7924	 diff2 = 	-5.9175e-07	 diff3 = 	-1.9196e-05	 diff4 = 	0.0031606	 diff5 = 	0.24267	 diff6 = 	119.4274	 diff7 = 	119.6701
Iter = 	320	 relative error = 	0.064282	 diff_step = 	100.3153	 diff = 	860.4834	 diff1 = 	740.7164	 diff2 = 	-5.773e-07	 diff3 = 	-1.8491e-05	 diff4 = 	0.0034275	 diff5 = 	0.23821	 diff6 = 	119.5254	 diff7 = 	119.7636
Iter = 	340	 relative error = 	0.061089	 diff_step = 	91.3425	 diff = 	859.8088	 diff1 = 	739.9189	 diff2 = 	-5.6437e-07	 diff3 = 	-1.7814e-05	 diff4 = 	0.0036813	 diff5 = 	0.23418	 diff6 = 	119.652	 diff7 = 	119.8862
Iter = 	360	 relative error = 	0.058881	 diff_step = 	83.8411	 diff = 	859.2706	 diff1 = 	739.2638	 diff2 = 	-5.5167e-07	 diff3 = 	-1.7155e-05	 diff4 = 	0.0038854	 diff5 = 	0.23036	 diff6 = 	119.7726	 diff7 = 	120.003
Iter = 	380	 relative error = 	0.057779	 diff_step = 	78.9722	 diff = 	857.9707	 diff1 = 	737.8629	 diff2 = 	-4.7464e-07	 diff3 = 	-1.6542e-05	 diff4 = 	0.0041562	 diff5 = 	0.22646	 diff6 = 	119.8772	 diff7 = 	120.1037
Iter = 	400	 relative error = 	0.056031	 diff_step = 	71.2087	 diff = 	857.6216	 diff1 = 	737.3904	 diff2 = 	-4.6579e-07	 diff3 = 	-1.5907e-05	 diff4 = 	0.0043124	 diff5 = 	0.22309	 diff6 = 	120.0038	 diff7 = 	120.2268
Iter = 	420	 relative error = 	0.054568	 diff_step = 	65.851	 diff = 	857.3916	 diff1 = 	737.0601	 diff2 = 	-4.5984e-07	 diff3 = 	-1.5274e-05	 diff4 = 	0.0044407	 diff5 = 	0.22009	 diff6 = 	120.1069	 diff7 = 	120.327
Iter = 	440	 relative error = 	0.053349	 diff_step = 	63.7328	 diff = 	857.0379	 diff1 = 	736.6182	 diff2 = 	-4.5418e-07	 diff3 = 	-1.465e-05	 diff4 = 	0.0045674	 diff5 = 	0.21733	 diff6 = 	120.1978	 diff7 = 	120.4151
Iter = 	460	 relative error = 	0.052356	 diff_step = 	65.0661	 diff = 	856.1376	 diff1 = 	735.566	 diff2 = 	-4.4859e-07	 diff3 = 	-1.4035e-05	 diff4 = 	0.0047168	 diff5 = 	0.21478	 diff6 = 	120.3521	 diff7 = 	120.5669
Iter = 	480	 relative error = 	0.051267	 diff_step = 	68.9946	 diff = 	855.2632	 diff1 = 	734.5392	 diff2 = 	-4.4351e-07	 diff3 = 	-1.3436e-05	 diff4 = 	0.0048416	 diff5 = 	0.21237	 diff6 = 	120.5068	 diff7 = 	120.7192
Iter = 	500	 relative error = 	0.050245	 diff_step = 	67.5217	 diff = 	854.5513	 diff1 = 	733.7582	 diff2 = 	-4.3892e-07	 diff3 = 	-1.2868e-05	 diff4 = 	0.0049614	 diff5 = 	0.21026	 diff6 = 	120.5779	 diff7 = 	120.7881
