 iteration 1
Iter = 	20	 relative error = 	1.0284	 diff_step = 	2373641.3179	 diff = 	4676045.8662	 diff1 = 	4668660.7286	 diff2 = 	-0.96143	 diff3 = 	-65.1322	 diff4 = 	-0.018638	 diff5 = 	1.3467	 diff6 = 	12.2972	 diff7 = 	7437.606	 diff8 = 	7449.9032
Iter = 	40	 relative error = 	1.0051	 diff_step = 	327022.5758	 diff = 	4446377.9705	 diff1 = 	4439082.5899	 diff2 = 	-0.95423	 diff3 = 	-65.5778	 diff4 = 	-0.017603	 diff5 = 	1.4871	 diff6 = 	13.5642	 diff7 = 	7346.879	 diff8 = 	7360.4431
Iter = 	60	 relative error = 	0.99527	 diff_step = 	195648.2855	 diff = 	4345304.4631	 diff1 = 	4338111.7113	 diff2 = 	-0.947	 diff3 = 	-65.4552	 diff4 = 	-0.017015	 diff5 = 	1.5707	 diff6 = 	14.1804	 diff7 = 	7243.42	 diff8 = 	7257.6003
Iter = 	80	 relative error = 	0.98992	 diff_step = 	134214.2826	 diff = 	4291187.2862	 diff1 = 	4284101.0031	 diff2 = 	-0.93961	 diff3 = 	-65.1744	 diff4 = 	-0.016583	 diff5 = 	1.6283	 diff6 = 	14.5231	 diff7 = 	7136.2623	 diff8 = 	7150.7854
Iter = 	100	 relative error = 	0.9866	 diff_step = 	98425.7242	 diff = 	4259041.0032	 diff1 = 	4252060.8329	 diff2 = 	-0.93222	 diff3 = 	-64.8436	 diff4 = 	-0.016247	 diff5 = 	1.6709	 diff6 = 	14.7191	 diff7 = 	7029.5724	 diff8 = 	7044.2915
Iter = 	120	 relative error = 	0.98441	 diff_step = 	75149.8557	 diff = 	4238771.8904	 diff1 = 	4231896.0611	 diff2 = 	-0.92494	 diff3 = 	-64.485	 diff4 = 	-0.01598	 diff5 = 	1.7046	 diff6 = 	14.8264	 diff7 = 	6924.7242	 diff8 = 	6939.5506
Iter = 	140	 relative error = 	0.98291	 diff_step = 	58900.0726	 diff = 	4225403.2853	 diff1 = 	4218629.5477	 diff2 = 	-0.91779	 diff3 = 	-64.1045	 diff4 = 	-0.015762	 diff5 = 	1.7324	 diff6 = 	14.8772	 diff7 = 	6822.166	 diff8 = 	6837.0432
Iter = 	160	 relative error = 	0.98184	 diff_step = 	47372.6636	 diff = 	4216161.4683	 diff1 = 	4209487.3595	 diff2 = 	-0.91076	 diff3 = 	-63.7069	 diff4 = 	-0.015575	 diff5 = 	1.7563	 diff6 = 	14.8914	 diff7 = 	6722.0945	 diff8 = 	6736.9859
Iter = 	180	 relative error = 	0.98105	 diff_step = 	39112.5249	 diff = 	4209491.1748	 diff1 = 	4202914.1362	 diff2 = 	-0.90386	 diff3 = 	-63.2994	 diff4 = 	-0.015409	 diff5 = 	1.7773	 diff6 = 	14.8812	 diff7 = 	6624.5989	 diff8 = 	6639.4801
Iter = 	200	 relative error = 	0.98046	 diff_step = 	32940.626	 diff = 	4204535.0802	 diff1 = 	4198052.5375	 diff2 = 	-0.89709	 diff3 = 	-62.8879	 diff4 = 	-0.015257	 diff5 = 	1.7961	 diff6 = 	14.8544	 diff7 = 	6529.6924	 diff8 = 	6544.5468
Iter = 	220	 relative error = 	0.98001	 diff_step = 	28155.7517	 diff = 	4200759.4989	 diff1 = 	4194368.9092	 diff2 = 	-0.89044	 diff3 = 	-62.4772	 diff4 = 	-0.015118	 diff5 = 	1.8134	 diff6 = 	14.816	 diff7 = 	6437.3432	 diff8 = 	6452.1591
Iter = 	240	 relative error = 	0.97967	 diff_step = 	24442.1627	 diff = 	4197801.9584	 diff1 = 	4191500.8411	 diff2 = 	-0.88392	 diff3 = 	-62.0704	 diff4 = 	-0.014989	 diff5 = 	1.8294	 diff6 = 	14.7692	 diff7 = 	6347.488	 diff8 = 	6362.2572
Iter = 	260	 relative error = 	0.97939	 diff_step = 	21558.553	 diff = 	4195422.8629	 diff1 = 	4189208.8109	 diff2 = 	-0.87751	 diff3 = 	-61.6684	 diff4 = 	-0.014867	 diff5 = 	1.8445	 diff6 = 	14.7166	 diff7 = 	6260.0518	 diff8 = 	6274.7684
Iter = 	280	 relative error = 	0.97917	 diff_step = 	19306.8396	 diff = 	4193458.3796	 diff1 = 	4187329.0582	 diff2 = 	-0.87124	 diff3 = 	-61.2715	 diff4 = 	-0.014752	 diff5 = 	1.8588	 diff6 = 	14.6599	 diff7 = 	6174.9602	 diff8 = 	6189.6201
