 iteration 1
Iter = 	20	 relative error = 	1.0708	 diff_step = 	1665713.8092	 diff = 	5676690.5881	 diff1 = 	5090250.271	 diff2 = 	-0.074293	 diff3 = 	-0.0049955	 diff4 = 	-0.015155	 diff5 = 	133364.434	 diff6 = 	5186.1723	 diff7 = 	447889.8052	 diff8 = 	453075.9775
Iter = 	40	 relative error = 	1.0546	 diff_step = 	264140.6805	 diff = 	5381169.7843	 diff1 = 	4934621.7515	 diff2 = 	-0.055546	 diff3 = 	-0.0037685	 diff4 = 	-0.010877	 diff5 = 	180494.4526	 diff6 = 	4520.8984	 diff7 = 	261532.752	 diff8 = 	266053.6504
Iter = 	60	 relative error = 	1.049	 diff_step = 	140192.2094	 diff = 	5289723.8299	 diff1 = 	4876985.2917	 diff2 = 	-0.047806	 diff3 = 	-0.0032513	 diff4 = 	-0.0092126	 diff5 = 	208263.1839	 diff6 = 	4277.7013	 diff7 = 	200197.7133	 diff8 = 	204475.4146
Iter = 	80	 relative error = 	1.0464	 diff_step = 	85593.7633	 diff = 	5252142.8685	 diff1 = 	4850773.5836	 diff2 = 	-0.043639	 diff3 = 	-0.002966	 diff4 = 	-0.0083671	 diff5 = 	225513.3652	 diff6 = 	4182.3952	 diff7 = 	171673.5794	 diff8 = 	175855.9746
Iter = 	100	 relative error = 	1.045	 diff_step = 	56623.6586	 diff = 	5234117.5396	 diff1 = 	4837174.1418	 diff2 = 	-0.041111	 diff3 = 	-0.0027894	 diff4 = 	-0.0078823	 diff5 = 	236516.2805	 diff6 = 	4153.7313	 diff7 = 	156273.4378	 diff8 = 	160427.1691
Iter = 	120	 relative error = 	1.0441	 diff_step = 	39875.2543	 diff = 	5224432.7334	 diff1 = 	4829352.041	 diff2 = 	-0.039467	 diff3 = 	-0.0026727	 diff4 = 	-0.0075844	 diff5 = 	243672.6868	 diff6 = 	4157.1002	 diff7 = 	147250.9552	 diff8 = 	151408.0554
Iter = 	140	 relative error = 	1.0436	 diff_step = 	29898.4395	 diff = 	5218739.9623	 diff1 = 	4824450.4774	 diff2 = 	-0.038349	 diff3 = 	-0.0025923	 diff4 = 	-0.0073927	 diff5 = 	248428.7151	 diff6 = 	4175.4151	 diff7 = 	141685.403	 diff8 = 	145860.8181
Iter = 	160	 relative error = 	1.0431	 diff_step = 	23576.1611	 diff = 	5215197.0159	 diff1 = 	4821206.6554	 diff2 = 	-0.037563	 diff3 = 	-0.002535	 diff4 = 	-0.0072653	 diff5 = 	251667.6824	 diff6 = 	4199.5764	 diff7 = 	138123.1491	 diff8 = 	142322.7255
Iter = 	180	 relative error = 	1.0428	 diff_step = 	19137.0961	 diff = 	5212903.4376	 diff1 = 	4818975.7608	 diff2 = 	-0.036997	 diff3 = 	-0.0024933	 diff4 = 	-0.0071786	 diff5 = 	253928.0056	 diff6 = 	4224.7221	 diff7 = 	135774.9958	 diff8 = 	139999.7179
Iter = 	200	 relative error = 	1.0426	 diff_step = 	15930.2221	 diff = 	5211353.1452	 diff1 = 	4817374.9841	 diff2 = 	-0.03658	 diff3 = 	-0.0024623	 diff4 = 	-0.0071182	 diff5 = 	255541.7084	 diff6 = 	4248.4516	 diff7 = 	134188.0473	 diff8 = 	138436.4989
Iter = 	220	 relative error = 	1.0424	 diff_step = 	13549.1376	 diff = 	5210267.1836	 diff1 = 	4816187.2944	 diff2 = 	-0.036269	 diff3 = 	-0.0024391	 diff4 = 	-0.007075	 diff5 = 	256718.8502	 diff6 = 	4269.6916	 diff7 = 	133091.3931	 diff8 = 	137361.0847
Iter = 	240	 relative error = 	1.0422	 diff_step = 	11699.8605	 diff = 	5209483.7299	 diff1 = 	4815283.3351	 diff2 = 	-0.036035	 diff3 = 	-0.0024214	 diff4 = 	-0.0070436	 diff5 = 	257594.3901	 diff6 = 	4288.0804	 diff7 = 	132317.9697	 diff8 = 	136606.0501
Iter = 	260	 relative error = 	1.0421	 diff_step = 	10211.4669	 diff = 	5208902.6653	 diff1 = 	4814580.0865	 diff2 = 	-0.035855	 diff3 = 	-0.0024078	 diff4 = 	-0.0070204	 diff5 = 	258256.6661	 diff6 = 	4303.6551	 diff7 = 	131762.3029	 diff8 = 	136065.958
Iter = 	280	 relative error = 	1.042	 diff_step = 	8988.4684	 diff = 	5208460.9963	 diff1 = 	4814023.0936	 diff2 = 	-0.035717	 diff3 = 	-0.0023973	 diff4 = 	-0.0070028	 diff5 = 	258764.8212	 diff6 = 	4316.6622	 diff7 = 	131356.4643	 diff8 = 	135673.1266
Iter = 	300	 relative error = 	1.0419	 diff_step = 	7973.6763	 diff = 	5208119.0464	 diff1 = 	4813576.4945	 diff2 = 	-0.035611	 diff3 = 	-0.0023891	 diff4 = 	-0.0069894	 diff5 = 	259159.3331	 diff6 = 	4327.4281	 diff7 = 	131055.8357	 diff8 = 	135383.2638
Iter = 	320	 relative error = 	1.0418	 diff_step = 	7124.6208	 diff = 	5207850.2627	 diff1 = 	4813215.0061	 diff2 = 	-0.035528	 diff3 = 	-0.0023828	 diff4 = 	-0.006979	 diff5 = 	259468.5279	 diff6 = 	4336.2863	 diff7 = 	130830.4873	 diff8 = 	135166.7736
Iter = 	340	 relative error = 	1.0417	 diff_step = 	6407.4067	 diff = 	5207636.3948	 diff1 = 	4812920.2762	 diff2 = 	-0.035463	 diff3 = 	-0.0023778	 diff4 = 	-0.0069709	 diff5 = 	259712.7022	 diff6 = 	4343.5472	 diff7 = 	130659.914	 diff8 = 	135003.4612
Iter = 	360	 relative error = 	1.0417	 diff_step = 	5781.6634	 diff = 	5207464.928	 diff1 = 	4812678.9894	 diff2 = 	-0.035412	 diff3 = 	-0.0023739	 diff4 = 	-0.0069646	 diff5 = 	259906.7609	 diff6 = 	4349.479	 diff7 = 	130529.7434	 diff8 = 	134879.2224
Iter = 	380	 relative error = 	1.0416	 diff_step = 	5229.9357	 diff = 	5207325.5258	 diff1 = 	4812479.6732	 diff2 = 	-0.035373	 diff3 = 	-0.0023708	 diff4 = 	-0.0069596	 diff5 = 	260061.8283	 diff6 = 	4354.313	 diff7 = 	130429.7561	 diff8 = 	134784.0691
Iter = 	400	 relative error = 	1.0416	 diff_step = 	4745.5039	 diff = 	5207210.3919	 diff1 = 	4812313.3016	 diff2 = 	-0.035342	 diff3 = 	-0.0023684	 diff4 = 	-0.0069556	 diff5 = 	260186.2985	 diff6 = 	4358.2489	 diff7 = 	130352.5876	 diff8 = 	134710.8364
Iter = 	420	 relative error = 	1.0416	 diff_step = 	4322.1673	 diff = 	5207113.8611	 diff1 = 	4812173.0374	 diff2 = 	-0.035317	 diff3 = 	-0.0023665	 diff4 = 	-0.0069524	 diff5 = 	260286.5735	 diff6 = 	4361.4546	 diff7 = 	130292.8403	 diff8 = 	134654.2949
Iter = 	440	 relative error = 	1.0415	 diff_step = 	3950.6464	 diff = 	5207032.1516	 diff1 = 	4812054.0339	 diff2 = 	-0.035298	 diff3 = 	-0.002365	 diff4 = 	-0.0069498	 diff5 = 	260367.6053	 diff6 = 	4364.0673	 diff7 = 	130246.4897	 diff8 = 	134610.557
Iter = 	460	 relative error = 	1.0415	 diff_step = 	3619.0945	 diff = 	5206962.5273	 diff1 = 	4811952.6016	 diff2 = 	-0.035284	 diff3 = 	-0.0023638	 diff4 = 	-0.0069478	 diff5 = 	260433.2921	 diff6 = 	4366.1953	 diff7 = 	130210.4828	 diff8 = 	134576.6781
Iter = 	480	 relative error = 	1.0415	 diff_step = 	3323.8047	 diff = 	5206902.4329	 diff1 = 	4811865.3229	 diff2 = 	-0.035272	 diff3 = 	-0.0023629	 diff4 = 	-0.0069461	 diff5 = 	260486.7252	 diff6 = 	4367.9297	 diff7 = 	130182.4996	 diff8 = 	134550.4293
