 iteration 1
Iter = 	20	 relative error = 	1.0708	 diff_step = 	1665712.1474	 diff = 	5676684.5376	 diff1 = 	5090251.7496	 diff2 = 	-0.074294	 diff3 = 	-0.49956	 diff4 = 	-15.1604	 diff5 = 	133363.069	 diff6 = 	5186.2172	 diff7 = 	447899.2359	 diff8 = 	453085.4532
Iter = 	40	 relative error = 	1.0546	 diff_step = 	264140.919	 diff = 	5381162.723	 diff1 = 	4934622.5483	 diff2 = 	-0.055547	 diff3 = 	-0.37686	 diff4 = 	-10.881	 diff5 = 	180492.7857	 diff6 = 	4520.9336	 diff7 = 	261537.7688	 diff8 = 	266058.7024
Iter = 	60	 relative error = 	1.049	 diff_step = 	140192.3542	 diff = 	5289716.7455	 diff1 = 	4876985.8202	 diff2 = 	-0.047807	 diff3 = 	-0.32514	 diff4 = 	-9.216	 diff5 = 	208261.2672	 diff6 = 	4277.7346	 diff7 = 	200201.5124	 diff8 = 	204479.247
Iter = 	80	 relative error = 	1.0464	 diff_step = 	85593.8547	 diff = 	5252135.7959	 diff1 = 	4850773.9748	 diff2 = 	-0.043639	 diff3 = 	-0.29661	 diff4 = 	-8.3702	 diff5 = 	225511.2707	 diff6 = 	4182.428	 diff7 = 	171676.833	 diff8 = 	175859.261
Iter = 	100	 relative error = 	1.045	 diff_step = 	56623.7674	 diff = 	5234110.4638	 diff1 = 	4837174.4476	 diff2 = 	-0.041111	 diff3 = 	-0.27895	 diff4 = 	-7.8852	 diff5 = 	236514.063	 diff6 = 	4153.7641	 diff7 = 	156276.3943	 diff8 = 	160430.1585
Iter = 	120	 relative error = 	1.0441	 diff_step = 	39875.3924	 diff = 	5224425.6487	 diff1 = 	4829352.2919	 diff2 = 	-0.039468	 diff3 = 	-0.26728	 diff4 = 	-7.5872	 diff5 = 	243670.3856	 diff6 = 	4157.1334	 diff7 = 	147253.7318	 diff8 = 	151410.8652
Iter = 	140	 relative error = 	1.0436	 diff_step = 	29898.5646	 diff = 	5218732.8666	 diff1 = 	4824450.6907	 diff2 = 	-0.038349	 diff3 = 	-0.25923	 diff4 = 	-7.3956	 diff5 = 	248426.3573	 diff6 = 	4175.4487	 diff7 = 	141688.063	 diff8 = 	145863.5117
Iter = 	160	 relative error = 	1.0431	 diff_step = 	23576.2801	 diff = 	5215189.9048	 diff1 = 	4821206.8377	 diff2 = 	-0.037563	 diff3 = 	-0.25351	 diff4 = 	-7.2682	 diff5 = 	251665.2857	 diff6 = 	4199.6105	 diff7 = 	138125.7301	 diff8 = 	142325.3406
Iter = 	180	 relative error = 	1.0428	 diff_step = 	19137.1993	 diff = 	5212896.3154	 diff1 = 	4818975.9226	 diff2 = 	-0.036997	 diff3 = 	-0.24934	 diff4 = 	-7.1815	 diff5 = 	253925.5826	 diff6 = 	4224.7566	 diff7 = 	135777.5213	 diff8 = 	140002.2779
Iter = 	200	 relative error = 	1.0426	 diff_step = 	15930.2975	 diff = 	5211346.0154	 diff1 = 	4817375.1326	 diff2 = 	-0.036581	 diff3 = 	-0.24624	 diff4 = 	-7.1211	 diff5 = 	255539.2674	 diff6 = 	4248.4865	 diff7 = 	134190.5328	 diff8 = 	138439.0193
Iter = 	220	 relative error = 	1.0424	 diff_step = 	13549.1961	 diff = 	5210260.0479	 diff1 = 	4816187.4334	 diff2 = 	-0.03627	 diff3 = 	-0.24391	 diff4 = 	-7.0779	 diff5 = 	256716.3966	 diff6 = 	4269.7269	 diff7 = 	133093.849	 diff8 = 	137363.576
