 iteration 1
Iter = 	20	 relative error = 	1.069	 diff_step = 	1639908.3635	 diff = 	5406543.9315	 diff1 = 	5078440.1643	 diff2 = 	-5.8642	 diff3 = 	-39.5096	 diff4 = 	-0.11439	 diff5 = 	18092.4311	 diff6 = 	36811.6163	 diff7 = 	273245.2081	 diff8 = 	310056.8244
Iter = 	40	 relative error = 	1.0535	 diff_step = 	267890.6237	 diff = 	5157798.8627	 diff1 = 	4926950.4296	 diff2 = 	-4.6417	 diff3 = 	-31.6223	 diff4 = 	-0.086567	 diff5 = 	23697.9659	 diff6 = 	32958.5862	 diff7 = 	174228.2315	 diff8 = 	207186.8177
Iter = 	60	 relative error = 	1.0481	 diff_step = 	143457.0412	 diff = 	5057665.4391	 diff1 = 	4870375.1417	 diff2 = 	-3.9705	 diff3 = 	-27.1779	 diff4 = 	-0.072365	 diff5 = 	28050.8471	 diff6 = 	30150.8597	 diff7 = 	129119.8114	 diff8 = 	159270.6711
Iter = 	80	 relative error = 	1.0457	 diff_step = 	87856.0049	 diff = 	5007738.0185	 diff1 = 	4844663.567	 diff2 = 	-3.5344	 diff3 = 	-24.2272	 diff4 = 	-0.063616	 diff5 = 	31610.7893	 diff6 = 	28064.8858	 diff7 = 	103426.6016	 diff8 = 	131491.4875
Iter = 	100	 relative error = 	1.0444	 diff_step = 	58219.7661	 diff = 	4979509.0994	 diff1 = 	4831543.898	 diff2 = 	-3.2245	 diff3 = 	-22.107	 diff4 = 	-0.057636	 diff5 = 	34602.1523	 diff6 = 	26465.7341	 diff7 = 	86922.7041	 diff8 = 	113388.4382
Iter = 	120	 relative error = 	1.0436	 diff_step = 	40857.2813	 diff = 	4961958.5386	 diff1 = 	4824133.3164	 diff2 = 	-2.9914	 diff3 = 	-20.5057	 diff4 = 	-0.053273	 diff5 = 	37155.0493	 diff6 = 	25209.7873	 diff7 = 	75483.9359	 diff8 = 	100693.7233
Iter = 	140	 relative error = 	1.0431	 diff_step = 	30526.7647	 diff = 	4950238.4932	 diff1 = 	4819566.6816	 diff2 = 	-2.8091	 diff3 = 	-19.2514	 diff4 = 	-0.049943	 diff5 = 	39360.8161	 diff6 = 	24205.4039	 diff7 = 	67127.702	 diff8 = 	91333.1059
Iter = 	160	 relative error = 	1.0427	 diff_step = 	24002.4797	 diff = 	4942023.0197	 diff1 = 	4816584.2275	 diff2 = 	-2.6624	 diff3 = 	-18.2413	 diff4 = 	-0.047317	 diff5 = 	41286.0505	 diff6 = 	23390.2882	 diff7 = 	60783.4044	 diff8 = 	84173.6926
Iter = 	180	 relative error = 	1.0424	 diff_step = 	19475.3689	 diff = 	4936059.7741	 diff1 = 	4814556.6451	 diff2 = 	-2.5417	 diff3 = 	-17.4101	 diff4 = 	-0.045195	 diff5 = 	42979.461	 diff6 = 	22720.7142	 diff7 = 	55822.9508	 diff8 = 	78543.665
Iter = 	200	 relative error = 	1.0422	 diff_step = 	16219.2286	 diff = 	4931594.7983	 diff1 = 	4813117.0396	 diff2 = 	-2.4408	 diff3 = 	-16.7145	 diff4 = 	-0.043448	 diff5 = 	44477.2341	 diff6 = 	22165.5466	 diff7 = 	51854.1767	 diff8 = 	74019.7233
Iter = 	220	 relative error = 	1.0421	 diff_step = 	13808.8878	 diff = 	4928169.3455	 diff1 = 	4812058.8554	 diff2 = 	-2.3552	 diff3 = 	-16.1242	 diff4 = 	-0.041988	 diff5 = 	45807.6142	 diff6 = 	21701.79	 diff7 = 	48619.6074	 diff8 = 	70321.3974
