 iteration 1
Iter = 	20	 relative error = 	1.0708	 diff_step = 	1665712.1196	 diff = 	5676681.2079	 diff1 = 	5090251.4124	 diff2 = 	-0.74294	 diff3 = 	-4.9959	 diff4 = 	-15.1604	 diff5 = 	133362.8143	 diff6 = 	5186.2252	 diff7 = 	447901.6552	 diff8 = 	453087.8804
Iter = 	40	 relative error = 	1.0546	 diff_step = 	264140.7747	 diff = 	5381159.7925	 diff1 = 	4934622.3884	 diff2 = 	-0.55547	 diff3 = 	-3.7687	 diff4 = 	-10.881	 diff5 = 	180492.4201	 diff6 = 	4520.9397	 diff7 = 	261539.2496	 diff8 = 	266060.1893
Iter = 	60	 relative error = 	1.049	 diff_step = 	140192.2387	 diff = 	5289714.0577	 diff1 = 	4876985.7461	 diff2 = 	-0.47807	 diff3 = 	-3.2515	 diff4 = 	-9.216	 diff5 = 	208260.7986	 diff6 = 	4277.7402	 diff7 = 	200202.7183	 diff8 = 	204480.4585
Iter = 	80	 relative error = 	1.0464	 diff_step = 	85593.7872	 diff = 	5252133.2241	 diff1 = 	4850773.9336	 diff2 = 	-0.4364	 diff3 = 	-2.9662	 diff4 = 	-8.3702	 diff5 = 	225510.7204	 diff6 = 	4182.4335	 diff7 = 	171677.9096	 diff8 = 	175860.343
Iter = 	100	 relative error = 	1.045	 diff_step = 	56623.7355	 diff = 	5234107.9503	 diff1 = 	4837174.4196	 diff2 = 	-0.41112	 diff3 = 	-2.7896	 diff4 = 	-7.8853	 diff5 = 	236513.4503	 diff6 = 	4153.7695	 diff7 = 	156277.3968	 diff8 = 	160431.1663
Iter = 	120	 relative error = 	1.0441	 diff_step = 	39875.3766	 diff = 	5224423.1672	 diff1 = 	4829352.2708	 diff2 = 	-0.39468	 diff3 = 	-2.6729	 diff4 = 	-7.5873	 diff5 = 	243669.726	 diff6 = 	4157.1386	 diff7 = 	147254.6867	 diff8 = 	151411.8253
Iter = 	140	 relative error = 	1.0436	 diff_step = 	29898.5564	 diff = 	5218730.4036	 diff1 = 	4824450.674	 diff2 = 	-0.3835	 diff3 = 	-2.5924	 diff4 = 	-7.3956	 diff5 = 	248425.6623	 diff6 = 	4175.4539	 diff7 = 	141688.985	 diff8 = 	145864.4389
Iter = 	160	 relative error = 	1.0431	 diff_step = 	23576.2748	 diff = 	5215187.4532	 diff1 = 	4821206.8245	 diff2 = 	-0.37564	 diff3 = 	-2.5352	 diff4 = 	-7.2682	 diff5 = 	251664.564	 diff6 = 	4199.6155	 diff7 = 	138126.6283	 diff8 = 	142326.2438
Iter = 	180	 relative error = 	1.0428	 diff_step = 	19137.1948	 diff = 	5212893.8709	 diff1 = 	4818975.9121	 diff2 = 	-0.36997	 diff3 = 	-2.4935	 diff4 = 	-7.1815	 diff5 = 	253924.8406	 diff6 = 	4224.7616	 diff7 = 	135778.4016	 diff8 = 	140003.1632
Iter = 	200	 relative error = 	1.0426	 diff_step = 	15930.2936	 diff = 	5211343.5751	 diff1 = 	4817375.1241	 diff2 = 	-0.36581	 diff3 = 	-2.4625	 diff4 = 	-7.1211	 diff5 = 	255538.5097	 diff6 = 	4248.4914	 diff7 = 	134191.3993	 diff8 = 	138439.8907
Iter = 	220	 relative error = 	1.0424	 diff_step = 	13549.1941	 diff = 	5210257.61	 diff1 = 	4816187.4264	 diff2 = 	-0.3627	 diff3 = 	-2.4392	 diff4 = 	-7.078	 diff5 = 	256715.627	 diff6 = 	4269.7318	 diff7 = 	133094.7048	 diff8 = 	137364.4366
