 iteration 1
Iter = 	20	 relative error = 	1.0687	 diff_step = 	1605734.8682	 diff = 	5196229.2958	 diff1 = 	5074494.5987	 diff2 = 	-86.0948	 diff3 = 	-5.8081	 diff4 = 	-1688.6006	 diff5 = 	12744.3309	 diff6 = 	51781.6576	 diff7 = 	58989.212	 diff8 = 	110770.8697
Iter = 	40	 relative error = 	1.0534	 diff_step = 	269033.423	 diff = 	5044340.2183	 diff1 = 	4925123.2911	 diff2 = 	-81.3027	 diff3 = 	-5.5449	 diff4 = 	-1525.1504	 diff5 = 	14222.6426	 diff6 = 	53875.8608	 diff7 = 	52730.4217	 diff8 = 	106606.2825
Iter = 	60	 relative error = 	1.0481	 diff_step = 	144071.603	 diff = 	4984656.914	 diff1 = 	4869285.4539	 diff2 = 	-77.2382	 diff3 = 	-5.2941	 diff4 = 	-1414.5683	 diff5 = 	15340.7818	 diff6 = 	53810.5887	 diff7 = 	47717.19	 diff8 = 	101527.7787
Iter = 	80	 relative error = 	1.0457	 diff_step = 	88306.9768	 diff = 	4955413.9222	 diff1 = 	4843880.9386	 diff2 = 	-73.7361	 diff3 = 	-5.0627	 diff4 = 	-1331.7245	 diff5 = 	16263.1936	 diff6 = 	53053.9898	 diff7 = 	43626.3233	 diff8 = 	96680.3131
Iter = 	100	 relative error = 	1.0445	 diff_step = 	58549.6124	 diff = 	4938947.0312	 diff1 = 	4830924.2511	 diff2 = 	-70.6943	 diff3 = 	-4.8563	 diff4 = 	-1265.8251	 diff5 = 	17055.9683	 diff6 = 	52067.6314	 diff7 = 	40240.5561	 diff8 = 	92308.1875
Iter = 	120	 relative error = 	1.0437	 diff_step = 	41128.5868	 diff = 	4928512.6849	 diff1 = 	4823613.0458	 diff2 = 	-68.0289	 diff3 = 	-4.6741	 diff4 = 	-1211.4498	 diff5 = 	17752.1366	 diff6 = 	51031.6738	 diff7 = 	37399.9815	 diff8 = 	88431.6553
Iter = 	140	 relative error = 	1.0432	 diff_step = 	30760.986	 diff = 	4921265.0959	 diff1 = 	4819117.8853	 diff2 = 	-65.674	 diff3 = 	-4.513	 diff4 = 	-1165.4351	 diff5 = 	18374.6044	 diff6 = 	50021.5732	 diff7 = 	34986.6551	 diff8 = 	85008.2283
Iter = 	160	 relative error = 	1.0428	 diff_step = 	24183.3498	 diff = 	4915918.8461	 diff1 = 	4816192.9666	 diff2 = 	-63.5784	 diff3 = 	-4.3696	 diff4 = 	-1125.7526	 diff5 = 	18939.4948	 diff6 = 	49066.9639	 diff7 = 	32913.1213	 diff8 = 	81980.0852
Iter = 	180	 relative error = 	1.0426	 diff_step = 	19618.5425	 diff = 	4911802.4765	 diff1 = 	4814210.2667	 diff2 = 	-61.7014	 diff3 = 	-4.2412	 diff4 = 	-1091.0749	 diff5 = 	19457.7146	 diff6 = 	48177.6329	 diff7 = 	31113.8798	 diff8 = 	79291.5127
Iter = 	200	 relative error = 	1.0424	 diff_step = 	16336.4413	 diff = 	4908512.9169	 diff1 = 	4812806.4824	 diff2 = 	-60.0106	 diff3 = 	-4.1255	 diff4 = 	-1060.4475	 diff5 = 	19936.5881	 diff6 = 	47355.1984	 diff7 = 	29539.2316	 diff8 = 	76894.43
Iter = 	220	 relative error = 	1.0422	 diff_step = 	13907.7986	 diff = 	4905810.5002	 diff1 = 	4811776.6608	 diff2 = 	-58.4796	 diff3 = 	-4.0208	 diff4 = 	-1033.1533	 diff5 = 	20381.4492	 diff6 = 	46597.2614	 diff7 = 	28150.7826	 diff8 = 	74748.0439
Iter = 	240	 relative error = 	1.042	 diff_step = 	12039.3902	 diff = 	4903542.8732	 diff1 = 	4810997.9414	 diff2 = 	-57.0869	 diff3 = 	-3.9256	 diff4 = 	-1008.6475	 diff5 = 	20796.4535	 diff6 = 	45899.747	 diff7 = 	26918.3912	 diff8 = 	72818.1382
Iter = 	260	 relative error = 	1.0419	 diff_step = 	10552.2906	 diff = 	4901608.9863	 diff1 = 	4810394.1255	 diff2 = 	-55.8146	 diff3 = 	-3.8387	 diff4 = 	-986.5057	 diff5 = 	21184.9149	 diff6 = 	45258.0324	 diff7 = 	25818.0724	 diff8 = 	71076.1047
Iter = 	280	 relative error = 	1.0418	 diff_step = 	9337.9448	 diff = 	4899939.3523	 diff1 = 	4809916.6149	 diff2 = 	-54.6478	 diff3 = 	-3.7589	 diff4 = 	-966.3909	 diff5 = 	21549.5144	 diff6 = 	44667.5052	 diff7 = 	24830.5155	 diff8 = 	69498.0207
Iter = 	300	 relative error = 	1.0417	 diff_step = 	8331.0314	 diff = 	4898484.9912	 diff1 = 	4809534.0108	 diff2 = 	-53.5742	 diff3 = 	-3.6855	 diff4 = 	-948.0321	 diff5 = 	21892.4579	 diff6 = 	44123.811	 diff7 = 	23940.0033	 diff8 = 	68063.8143
Iter = 	320	 relative error = 	1.0417	 diff_step = 	7479.8091	 diff = 	4897209.8986	 diff1 = 	4809225.2252	 diff2 = 	-52.5831	 diff3 = 	-3.6178	 diff4 = 	-931.2079	 diff5 = 	22215.5892	 diff6 = 	43622.8894	 diff7 = 	23133.6036	 diff8 = 	66756.493
Iter = 	340	 relative error = 	1.0416	 diff_step = 	6743.6943	 diff = 	4896085.3406	 diff1 = 	4808974.2505	 diff2 = 	-51.6656	 diff3 = 	-3.5549	 diff4 = 	-915.7346	 diff5 = 	22520.4808	 diff6 = 	43160.998	 diff7 = 	22400.5664	 diff8 = 	65561.5644
Iter = 	360	 relative error = 	1.0415	 diff_step = 	6106.9019	 diff = 	4895087.0929	 diff1 = 	4808767.7131	 diff2 = 	-50.8139	 diff3 = 	-3.4966	 diff4 = 	-901.4562	 diff5 = 	22808.5072	 diff6 = 	42734.7626	 diff7 = 	21731.8766	 diff8 = 	64466.6393
Iter = 	380	 relative error = 	1.0415	 diff_step = 	5555.9141	 diff = 	4894196.0203	 diff1 = 	4808595.7789	 diff2 = 	-50.0215	 diff3 = 	-3.4422	 diff4 = 	-888.2454	 diff5 = 	23080.8846	 diff6 = 	42341.146	 diff7 = 	21119.9199	 diff8 = 	63461.0659
Iter = 	400	 relative error = 	1.0415	 diff_step = 	5064.2219	 diff = 	4893397.2379	 diff1 = 	4808451.6044	 diff2 = 	-49.2824	 diff3 = 	-3.3913	 diff4 = 	-875.9964	 diff5 = 	23338.7014	 diff6 = 	41977.379	 diff7 = 	20558.2232	 diff8 = 	62535.6022
Iter = 	420	 relative error = 	1.0414	 diff_step = 	4626.5811	 diff = 	4892678.3213	 diff1 = 	4808329.7187	 diff2 = 	-48.5918	 diff3 = 	-3.3438	 diff4 = 	-864.6107	 diff5 = 	23582.9339	 diff6 = 	41640.9638	 diff7 = 	20041.2513	 diff8 = 	61682.2151
Iter = 	440	 relative error = 	1.0414	 diff_step = 	4236.7022	 diff = 	4892028.8725	 diff1 = 	4808225.7562	 diff2 = 	-47.9452	 diff3 = 	-3.2991	 diff4 = 	-854.0045	 diff5 = 	23814.4634	 diff6 = 	41329.6568	 diff7 = 	19564.2449	 diff8 = 	60893.9017
Iter = 	460	 relative error = 	1.0414	 diff_step = 	3889.0745	 diff = 	4891440.5349	 diff1 = 	4808136.6243	 diff2 = 	-47.3386	 diff3 = 	-3.2572	 diff4 = 	-844.1057	 diff5 = 	24034.0907	 diff6 = 	41041.4326	 diff7 = 	19123.089	 diff8 = 	60164.5215
Iter = 	480	 relative error = 	1.0413	 diff_step = 	3575.4216	 diff = 	4890906.1604	 diff1 = 	4808059.799	 diff2 = 	-46.7687	 diff3 = 	-3.2177	 diff4 = 	-834.8517	 diff5 = 	24242.5489	 diff6 = 	40774.4443	 diff7 = 	18714.2064	 diff8 = 	59488.6507
Iter = 	500	 relative error = 	1.0413	 diff_step = 	3294.0948	 diff = 	4890419.3729	 diff1 = 	4807992.9484	 diff2 = 	-46.2325	 diff3 = 	-3.1805	 diff4 = 	-826.1872	 diff5 = 	24440.5149	 diff6 = 	40527.0363	 diff7 = 	18334.4735	 diff8 = 	58861.5099
