 iteration 1
Iter = 	20	 relative error = 	1.0687	 diff_step = 	1598051.4647	 diff = 	5145314.0269	 diff1 = 	5074462.5238	 diff2 = 	-91.4885	 diff3 = 	-619.9392	 diff4 = 	-1790.1335	 diff5 = 	12071.3467	 diff6 = 	54611.3614	 diff7 = 	6670.3562	 diff8 = 	61281.7176
Iter = 	40	 relative error = 	1.0534	 diff_step = 	269472.1862	 diff = 	5001541.6067	 diff1 = 	4925050.0872	 diff2 = 	-91.2443	 diff3 = 	-625.9055	 diff4 = 	-1704.8001	 diff5 = 	12843.4237	 diff6 = 	59439.9115	 diff7 = 	6630.1341	 diff8 = 	66070.0457
Iter = 	60	 relative error = 	1.0481	 diff_step = 	144270.9254	 diff = 	4948452.8614	 diff1 = 	4869221.3426	 diff2 = 	-90.9753	 diff3 = 	-627.9868	 diff4 = 	-1657.2578	 diff5 = 	13294.4334	 diff6 = 	61726.2863	 diff7 = 	6587.019	 diff8 = 	68313.3053
Iter = 	80	 relative error = 	1.0457	 diff_step = 	88440.7586	 diff = 	4924581.7622	 diff1 = 	4843815.0533	 diff2 = 	-90.6771	 diff3 = 	-627.6778	 diff4 = 	-1627.1036	 diff5 = 	13593.324	 diff6 = 	62975.8707	 diff7 = 	6542.9727	 diff8 = 	69518.8434
Iter = 	100	 relative error = 	1.0445	 diff_step = 	58659.504	 diff = 	4912543.9056	 diff1 = 	4830852.1229	 diff2 = 	-90.3701	 diff3 = 	-626.4114	 diff4 = 	-1606.139	 diff5 = 	13804.8566	 diff6 = 	63709.7257	 diff7 = 	6500.1208	 diff8 = 	70209.8465
Iter = 	120	 relative error = 	1.0438	 diff_step = 	41233.5128	 diff = 	4905809.0302	 diff1 = 	4823535.1635	 diff2 = 	-90.0617	 diff3 = 	-624.8344	 diff4 = 	-1590.6124	 diff5 = 	13959.4534	 diff6 = 	64160.8143	 diff7 = 	6459.1075	 diff8 = 	70619.9217
Iter = 	140	 relative error = 	1.0433	 diff_step = 	30863.0809	 diff = 	4901689.8257	 diff1 = 	4819037.9542	 diff2 = 	-89.7557	 diff3 = 	-623.1566	 diff4 = 	-1578.4995	 diff5 = 	14076.593	 diff6 = 	64446.7853	 diff7 = 	6419.905	 diff8 = 	70866.6903
Iter = 	160	 relative error = 	1.0429	 diff_step = 	24272.8687	 diff = 	4899016.689	 diff1 = 	4816115.0894	 diff2 = 	-89.4543	 diff3 = 	-621.4378	 diff4 = 	-1568.603	 diff5 = 	14168.935	 diff6 = 	64629.8703	 diff7 = 	6382.2893	 diff8 = 	71012.1596
Iter = 	180	 relative error = 	1.0426	 diff_step = 	19696.3869	 diff = 	4897202.6695	 diff1 = 	4814136.156	 diff2 = 	-89.1587	 diff3 = 	-619.7049	 diff4 = 	-1560.2555	 diff5 = 	14244.3237	 diff6 = 	64745.2735	 diff7 = 	6346.0354	 diff8 = 	71091.309
Iter = 	200	 relative error = 	1.0424	 diff_step = 	16404.0585	 diff = 	4895910.4695	 diff1 = 	4812737.0139	 diff2 = 	-88.87	 diff3 = 	-617.9761	 diff4 = 	-1553.0281	 diff5 = 	14307.5124	 diff6 = 	64814.8395	 diff7 = 	6310.978	 diff8 = 	71125.8175
Iter = 	220	 relative error = 	1.0423	 diff_step = 	13966.6068	 diff = 	4894951.569	 diff1 = 	4811712.0331	 diff2 = 	-88.5883	 diff3 = 	-616.2638	 diff4 = 	-1546.6259	 diff5 = 	14361.6112	 diff6 = 	64852.4088	 diff7 = 	6276.9938	 diff8 = 	71129.4026
