 iteration 1
Iter = 	20	 relative error = 	1.0701	 diff_step = 	1665866.7459	 diff = 	5573667.1943	 diff1 = 	5087291.8965	 diff2 = 	-231.1165	 diff3 = 	-0.0015518	 diff4 = 	-0.0046221	 diff5 = 	43934.112	 diff6 = 	15515.233	 diff7 = 	427157.0755	 diff8 = 	442672.3085
Iter = 	40	 relative error = 	1.0541	 diff_step = 	269838.5266	 diff = 	5238330.9338	 diff1 = 	4930380.7861	 diff2 = 	-167.8898	 diff3 = 	-0.0011395	 diff4 = 	-0.0032125	 diff5 = 	62227.1104	 diff6 = 	12897.484	 diff7 = 	232993.4474	 diff8 = 	245890.9314
Iter = 	60	 relative error = 	1.0485	 diff_step = 	143209.2136	 diff = 	5124518.1997	 diff1 = 	4872585.6418	 diff2 = 	-139.9449	 diff3 = 	-0.00095386	 diff4 = 	-0.0026216	 diff5 = 	75112.9327	 diff6 = 	11594.3998	 diff7 = 	165365.1739	 diff8 = 	176959.5737
Iter = 	80	 relative error = 	1.046	 diff_step = 	87457.5176	 diff = 	5073422.1909	 diff1 = 	4846422.07	 diff2 = 	-123.7158	 diff3 = 	-0.00084403	 diff4 = 	-0.0022939	 diff5 = 	84769.3242	 diff6 = 	10803.4293	 diff7 = 	131551.0863	 diff8 = 	142354.5156
Iter = 	100	 relative error = 	1.0446	 diff_step = 	57847.941	 diff = 	5047034.7391	 diff1 = 	4833042.2655	 diff2 = 	-113.0501	 diff3 = 	-0.00077101	 diff4 = 	-0.0020866	 diff5 = 	92198.6687	 diff6 = 	10283.5285	 diff7 = 	111623.3294	 diff8 = 	121906.8579
Iter = 	120	 relative error = 	1.0438	 diff_step = 	40558.4567	 diff = 	5031990.6096	 diff1 = 	4825460.8267	 diff2 = 	-105.5222	 diff3 = 	-0.00071915	 diff4 = 	-0.0019452	 diff5 = 	97992.4279	 diff6 = 	9928.5579	 diff7 = 	98714.3219	 diff8 = 	108642.8798
Iter = 	140	 relative error = 	1.0433	 diff_step = 	30279.8543	 diff = 	5022735.4226	 diff1 = 	4820769.3461	 diff2 = 	-99.9569	 diff3 = 	-0.00068064	 diff4 = 	-0.0018437	 diff5 = 	102558.9721	 diff6 = 	9682.0656	 diff7 = 	89824.9982	 diff8 = 	99507.0639
Iter = 	160	 relative error = 	1.0429	 diff_step = 	23822.7989	 diff = 	5016733.4516	 diff1 = 	4817688.8498	 diff2 = 	-95.7065	 diff3 = 	-0.00065112	 diff4 = 	-0.0017685	 diff5 = 	106192.2963	 diff6 = 	9510.0301	 diff7 = 	83437.9844	 diff8 = 	92948.0145
Iter = 	180	 relative error = 	1.0426	 diff_step = 	19335.8187	 diff = 	5012693.5103	 diff1 = 	4815585.123	 diff2 = 	-92.381	 diff3 = 	-0.00062795	 diff4 = 	-0.0017113	 diff5 = 	109106.1246	 diff6 = 	9390.4231	 diff7 = 	78704.2229	 diff8 = 	88094.646
Iter = 	200	 relative error = 	1.0424	 diff_step = 	16105.0966	 diff = 	5009873.5197	 diff1 = 	4814084.073	 diff2 = 	-89.7303	 diff3 = 	-0.00060941	 diff4 = 	-0.001667	 diff5 = 	111457.8973	 diff6 = 	9308.5212	 diff7 = 	75112.7609	 diff8 = 	84421.282
Iter = 	220	 relative error = 	1.0422	 diff_step = 	13709.9086	 diff = 	5007847.4493	 diff1 = 	4812976.284	 diff2 = 	-87.5859	 diff3 = 	-0.00059436	 diff4 = 	-0.0016322	 diff5 = 	113366.7994	 diff6 = 	9254.0155	 diff7 = 	72337.9386	 diff8 = 	81591.954
Iter = 	240	 relative error = 	1.042	 diff_step = 	11850.8051	 diff = 	5006356.2054	 diff1 = 	4812135.4366	 diff2 = 	-85.8299	 diff3 = 	-0.00058199	 diff4 = 	-0.0016045	 diff5 = 	114924.499	 diff6 = 	9219.4925	 diff7 = 	70162.6095	 diff8 = 	79382.102
Iter = 	260	 relative error = 	1.0419	 diff_step = 	10359.0076	 diff = 	5005235.715	 diff1 = 	4811481.6935	 diff2 = 	-84.3774	 diff3 = 	-0.00057172	 diff4 = 	-0.0015822	 diff5 = 	116202.0834	 diff6 = 	9199.5601	 diff7 = 	68436.7576	 diff8 = 	77636.3176
Iter = 	280	 relative error = 	1.0418	 diff_step = 	9135.6332	 diff = 	5004379.7343	 diff1 = 	4810963.8918	 diff2 = 	-83.1654	 diff3 = 	-0.00056311	 diff4 = 	-0.0015641	 diff5 = 	117255.0279	 diff6 = 	9190.2485	 diff7 = 	67053.7336	 diff8 = 	76243.982
Iter = 	300	 relative error = 	1.0417	 diff_step = 	8120.3001	 diff = 	5003717.68	 diff1 = 	4810548.4171	 diff2 = 	-82.1466	 diff3 = 	-0.00055584	 diff4 = 	-0.0015493	 diff5 = 	118126.9044	 diff6 = 	9188.6043	 diff7 = 	65935.903	 diff8 = 	75124.5073
Iter = 	320	 relative error = 	1.0416	 diff_step = 	7268.4858	 diff = 	5003200.5401	 diff1 = 	4810211.6462	 diff2 = 	-81.2848	 diff3 = 	-0.00054967	 diff4 = 	-0.0015371	 diff5 = 	118852.14	 diff6 = 	9192.417	 diff7 = 	65025.6238	 diff8 = 	74218.0408
Iter = 	340	 relative error = 	1.0416	 diff_step = 	6548.5306	 diff = 	5002792.7686	 diff1 = 	4809935.8233	 diff2 = 	-80.5515	 diff3 = 	-0.00054439	 diff4 = 	-0.001527	 diff5 = 	119458.0853	 diff6 = 	9200.0257	 diff7 = 	64279.3879	 diff8 = 	73479.4135
