 iteration 1
Iter = 	20	 relative error = 	1.0701	 diff_step = 	1665866	 diff = 	5573663.6316	 diff1 = 	5087292.318	 diff2 = 	-231.1172	 diff3 = 	-1.5519	 diff4 = 	-4.6226	 diff5 = 	43933.9961	 diff6 = 	15515.2659	 diff7 = 	427159.3431	 diff8 = 	442674.6091
Iter = 	40	 relative error = 	1.0541	 diff_step = 	269838.578	 diff = 	5238328.23	 diff1 = 	4930381.0353	 diff2 = 	-167.8903	 diff3 = 	-1.1395	 diff4 = 	-3.2128	 diff5 = 	62226.9093	 diff6 = 	12897.519	 diff7 = 	232995.0091	 diff8 = 	245892.5281
Iter = 	60	 relative error = 	1.0485	 diff_step = 	143209.2496	 diff = 	5124515.8241	 diff1 = 	4872585.8103	 diff2 = 	-139.9455	 diff3 = 	-0.95387	 diff4 = 	-2.6219	 diff5 = 	75112.6586	 diff6 = 	11594.4358	 diff7 = 	165366.4406	 diff8 = 	176960.8764
Iter = 	80	 relative error = 	1.046	 diff_step = 	87457.5484	 diff = 	5073419.9792	 diff1 = 	4846422.1917	 diff2 = 	-123.7163	 diff3 = 	-0.84404	 diff4 = 	-2.2941	 diff5 = 	84768.9884	 diff6 = 	10803.4659	 diff7 = 	131552.1877	 diff8 = 	142355.6536
Iter = 	100	 relative error = 	1.0446	 diff_step = 	57847.9746	 diff = 	5047032.6196	 diff1 = 	4833042.3567	 diff2 = 	-113.0507	 diff3 = 	-0.77102	 diff4 = 	-2.0868	 diff5 = 	92198.2807	 diff6 = 	10283.5655	 diff7 = 	111624.3253	 diff8 = 	121907.8907
Iter = 	120	 relative error = 	1.0438	 diff_step = 	40558.4994	 diff = 	5031988.5465	 diff1 = 	4825460.8975	 diff2 = 	-105.5227	 diff3 = 	-0.71916	 diff4 = 	-1.9453	 diff5 = 	97991.9962	 diff6 = 	9928.5951	 diff7 = 	98715.2448	 diff8 = 	108643.8399
Iter = 	140	 relative error = 	1.0433	 diff_step = 	30279.8866	 diff = 	5022733.3957	 diff1 = 	4820769.4028	 diff2 = 	-99.9574	 diff3 = 	-0.68065	 diff4 = 	-1.8439	 diff5 = 	102558.5037	 diff6 = 	9682.103	 diff7 = 	89825.8681	 diff8 = 	99507.9711
Iter = 	160	 relative error = 	1.0429	 diff_step = 	23822.8269	 diff = 	5016731.4472	 diff1 = 	4817688.8947	 diff2 = 	-95.707	 diff3 = 	-0.65113	 diff4 = 	-1.7686	 diff5 = 	106191.7973	 diff6 = 	9510.0676	 diff7 = 	83438.8144	 diff8 = 	92948.882
Iter = 	180	 relative error = 	1.0426	 diff_step = 	19335.8443	 diff = 	5012691.521	 diff1 = 	4815585.1592	 diff2 = 	-92.3815	 diff3 = 	-0.62796	 diff4 = 	-1.7114	 diff5 = 	109105.5999	 diff6 = 	9390.4607	 diff7 = 	78705.0221	 diff8 = 	88095.4828
Iter = 	200	 relative error = 	1.0424	 diff_step = 	16105.1177	 diff = 	5009871.5411	 diff1 = 	4814084.1028	 diff2 = 	-89.7308	 diff3 = 	-0.60942	 diff4 = 	-1.6672	 diff5 = 	111457.351	 diff6 = 	9308.5589	 diff7 = 	75113.5358	 diff8 = 	84422.0947
Iter = 	220	 relative error = 	1.0422	 diff_step = 	13709.9274	 diff = 	5007845.478	 diff1 = 	4812976.309	 diff2 = 	-87.5864	 diff3 = 	-0.59437	 diff4 = 	-1.6324	 diff5 = 	113366.2349	 diff6 = 	9254.0533	 diff7 = 	72338.694	 diff8 = 	81592.7473
Iter = 	240	 relative error = 	1.042	 diff_step = 	11850.8213	 diff = 	5006354.2396	 diff1 = 	4812135.458	 diff2 = 	-85.8304	 diff3 = 	-0.582	 diff4 = 	-1.6046	 diff5 = 	114923.9192	 diff6 = 	9219.5304	 diff7 = 	70163.3491	 diff8 = 	79382.8795
Iter = 	260	 relative error = 	1.0419	 diff_step = 	10359.0193	 diff = 	5005233.7533	 diff1 = 	4811481.7124	 diff2 = 	-84.3779	 diff3 = 	-0.57173	 diff4 = 	-1.5823	 diff5 = 	116201.4904	 diff6 = 	9199.5981	 diff7 = 	68437.4842	 diff8 = 	77637.0823
Iter = 	280	 relative error = 	1.0418	 diff_step = 	9135.6397	 diff = 	5004377.7757	 diff1 = 	4810963.9089	 diff2 = 	-83.1659	 diff3 = 	-0.56312	 diff4 = 	-1.5642	 diff5 = 	117254.4239	 diff6 = 	9190.2866	 diff7 = 	67054.4495	 diff8 = 	76244.7361
Iter = 	300	 relative error = 	1.0417	 diff_step = 	8120.2996	 diff = 	5003715.724	 diff1 = 	4810548.433	 diff2 = 	-82.1471	 diff3 = 	-0.55585	 diff4 = 	-1.5494	 diff5 = 	118126.291	 diff6 = 	9188.6425	 diff7 = 	65936.6099	 diff8 = 	75125.2524
Iter = 	320	 relative error = 	1.0416	 diff_step = 	7268.4892	 diff = 	5003198.5859	 diff1 = 	4810211.661	 diff2 = 	-81.2853	 diff3 = 	-0.54968	 diff4 = 	-1.5372	 diff5 = 	118851.5185	 diff6 = 	9192.4553	 diff7 = 	65026.3232	 diff8 = 	74218.7785
Iter = 	340	 relative error = 	1.0416	 diff_step = 	6548.5354	 diff = 	5002790.8156	 diff1 = 	4809935.8374	 diff2 = 	-80.552	 diff3 = 	-0.5444	 diff4 = 	-1.5271	 diff5 = 	119457.4569	 diff6 = 	9200.0641	 diff7 = 	64280.0808	 diff8 = 	73480.1449
Iter = 	360	 relative error = 	1.0415	 diff_step = 	5927.479	 diff = 	5002466.984	 diff1 = 	4809708.2379	 diff2 = 	-79.9249	 diff3 = 	-0.53987	 diff4 = 	-1.5187	 diff5 = 	119965.9435	 diff6 = 	9210.2118	 diff7 = 	63664.5742	 diff8 = 	72874.786
Iter = 	380	 relative error = 	1.0415	 diff_step = 	5375.8162	 diff = 	5002207.9935	 diff1 = 	4809518.9574	 diff2 = 	-79.3862	 diff3 = 	-0.53595	 diff4 = 	-1.5117	 diff5 = 	120394.5163	 diff6 = 	9221.9477	 diff7 = 	63154.0059	 diff8 = 	72375.9536
Iter = 	400	 relative error = 	1.0414	 diff_step = 	4886.3929	 diff = 	5001999.1865	 diff1 = 	4809360.0667	 diff2 = 	-78.9216	 diff3 = 	-0.53256	 diff4 = 	-1.5057	 diff5 = 	120757.2829	 diff6 = 	9234.5682	 diff7 = 	62728.2286	 diff8 = 	71962.7968
Iter = 	420	 relative error = 	1.0414	 diff_step = 	4454.8838	 diff = 	5001829.2816	 diff1 = 	4809225.2577	 diff2 = 	-78.5194	 diff3 = 	-0.5296	 diff4 = 	-1.5008	 diff5 = 	121065.622	 diff6 = 	9247.5617	 diff7 = 	62371.3899	 diff8 = 	71618.9516
