 iteration 1
Iter = 	20	 relative error = 	1.0704	 diff_step = 	1666074.4355	 diff = 	5980520.3736	 diff1 = 	5071157.8603	 diff2 = 	-25.1179	 diff3 = 	-1.6965	 diff4 = 	-0.0005175	 diff5 = 	407925.2878	 diff6 = 	1695.2597	 diff7 = 	499768.7806	 diff8 = 	501464.0404
Iter = 	40	 relative error = 	1.0556	 diff_step = 	234632.5835	 diff = 	5769128.9358	 diff1 = 	4937043.2913	 diff2 = 	-20.0926	 diff3 = 	-1.3621	 diff4 = 	-0.0004016	 diff5 = 	485315.6594	 diff6 = 	1688.1371	 diff7 = 	345103.3031	 diff8 = 	346791.4402
Iter = 	60	 relative error = 	1.0501	 diff_step = 	125834.447	 diff = 	5706829.0416	 diff1 = 	4886000.7357	 diff2 = 	-18.3252	 diff3 = 	-1.2403	 diff4 = 	-0.00036402	 diff5 = 	515240.3774	 diff6 = 	1758.3828	 diff7 = 	303849.1116	 diff8 = 	305607.4943
Iter = 	80	 relative error = 	1.0474	 diff_step = 	78229.4232	 diff = 	5681642.1306	 diff1 = 	4861859.416	 diff2 = 	-17.5098	 diff3 = 	-1.1814	 diff4 = 	-0.00034813	 diff5 = 	528886.7555	 diff6 = 	1826.4939	 diff7 = 	289088.1568	 diff8 = 	290914.6507
Iter = 	100	 relative error = 	1.0459	 diff_step = 	52962.1798	 diff = 	5669638.59	 diff1 = 	4848766.64	 diff2 = 	-17.0811	 diff3 = 	-1.1489	 diff4 = 	-0.00034039	 diff5 = 	536001.9115	 diff6 = 	1878.2809	 diff7 = 	283009.988	 diff8 = 	284888.2689
Iter = 	120	 relative error = 	1.0449	 diff_step = 	38285.537	 diff = 	5663247.0851	 diff1 = 	4841014.4108	 diff2 = 	-16.8381	 diff3 = 	-1.1298	 diff4 = 	-0.00033621	 diff5 = 	540118.1879	 diff6 = 	1914.4952	 diff7 = 	280217.9595	 diff8 = 	282132.4546
Iter = 	140	 relative error = 	1.0443	 diff_step = 	29047.9222	 diff = 	5659567.9966	 diff1 = 	4836153.8202	 diff2 = 	-16.6942	 diff3 = 	-1.118	 diff4 = 	-0.00033378	 diff5 = 	542683.9143	 diff6 = 	1939.0164	 diff7 = 	278809.0582	 diff8 = 	280748.0746
Iter = 	160	 relative error = 	1.0439	 diff_step = 	22756.8322	 diff = 	5657320.236	 diff1 = 	4832974.2031	 diff2 = 	-16.607	 diff3 = 	-1.1106	 diff4 = 	-0.00033229	 diff5 = 	544361.1211	 diff6 = 	1955.4601	 diff7 = 	278047.1696	 diff8 = 	280002.6298
Iter = 	180	 relative error = 	1.0436	 diff_step = 	18354.8299	 diff = 	5655855.8799	 diff1 = 	4830800.8052	 diff2 = 	-16.5536	 diff3 = 	-1.1059	 diff4 = 	-0.00033136	 diff5 = 	545487.078	 diff6 = 	1966.5082	 diff7 = 	277619.1483	 diff8 = 	279585.6565
Iter = 	200	 relative error = 	1.0433	 diff_step = 	15239.8026	 diff = 	5654841.6709	 diff1 = 	4829252.8615	 diff2 = 	-16.5209	 diff3 = 	-1.1029	 diff4 = 	-0.00033078	 diff5 = 	546256.6914	 diff6 = 	1973.9758	 diff7 = 	277375.7663	 diff8 = 	279349.742
Iter = 	220	 relative error = 	1.0431	 diff_step = 	12991.5959	 diff = 	5654098.5321	 diff1 = 	4828107.4559	 diff2 = 	-16.5008	 diff3 = 	-1.101	 diff4 = 	-0.0003304	 diff5 = 	546790.7604	 diff6 = 	1979.0645	 diff7 = 	277238.8535	 diff8 = 	279217.9181
Iter = 	240	 relative error = 	1.043	 diff_step = 	11315.8963	 diff = 	5653528.9339	 diff1 = 	4827232.9513	 diff2 = 	-16.4888	 diff3 = 	-1.0999	 diff4 = 	-0.00033016	 diff5 = 	547166.4885	 diff6 = 	1982.559	 diff7 = 	277164.5241	 diff8 = 	279147.0831
