 iteration 1
Iter = 	20	 relative error = 	1.6988	 diff_step = 	1641546.9182	 diff = 	5080531.3179	 diff1 = 	5110504.8845	 diff2 = 	-165649.8201	 diff3 = 	-0.0062967	 diff4 = 	-177.694	 diff5 = 	11957.5868	 diff6 = 	54789.1186	 diff7 = 	69107.2484	 diff8 = 	123896.3671
Iter = 	40	 relative error = 	1.7049	 diff_step = 	271624.3599	 diff = 	4934804.5506	 diff1 = 	4963014.6995	 diff2 = 	-172334.5364	 diff3 = 	-0.0065237	 diff4 = 	-171.6353	 diff5 = 	12629.0839	 diff6 = 	59818.9527	 diff7 = 	71847.9928	 diff8 = 	131666.9454
Iter = 	60	 relative error = 	1.7207	 diff_step = 	146058.6103	 diff = 	4879983.828	 diff1 = 	4909436.4506	 diff2 = 	-179511.1257	 diff3 = 	-0.0067243	 diff4 = 	-169.9081	 diff5 = 	12985.8565	 diff6 = 	62368.3548	 diff7 = 	74874.2066	 diff8 = 	137242.5614
Iter = 	80	 relative error = 	1.7401	 diff_step = 	90252.0561	 diff = 	4854492.7711	 diff1 = 	4886575.9223	 diff2 = 	-187269.5265	 diff3 = 	-0.0069119	 diff4 = 	-170.3108	 diff5 = 	13190.6939	 diff6 = 	63960.9499	 diff7 = 	78205.0493	 diff8 = 	142165.9992
Iter = 	100	 relative error = 	1.7614	 diff_step = 	60502.0648	 diff = 	4840904.9825	 diff1 = 	4876506.9366	 diff2 = 	-195752.3257	 diff3 = 	-0.0070994	 diff4 = 	-171.9777	 diff5 = 	13304.9061	 diff6 = 	65138.2643	 diff7 = 	81879.186	 diff8 = 	147017.4503
Iter = 	120	 relative error = 	1.7843	 diff_step = 	43174.6254	 diff = 	4832572.9836	 diff1 = 	4872535.3389	 diff2 = 	-205258.49	 diff3 = 	-0.0072916	 diff4 = 	-174.5389	 diff5 = 	13355.975	 diff6 = 	66169.9086	 diff7 = 	85944.7973	 diff8 = 	152114.7058
Iter = 	140	 relative error = 	1.8087	 diff_step = 	33437.7686	 diff = 	4826537.9607	 diff1 = 	4872213.0278	 diff2 = 	-216627.5125	 diff3 = 	-0.0074888	 diff4 = 	-177.8478	 diff5 = 	13358.8394	 diff6 = 	67255.9251	 diff7 = 	90515.5362	 diff8 = 	157771.4613
Iter = 	160	 relative error = 	1.8361	 diff_step = 	28837.8503	 diff = 	4820587.1762	 diff1 = 	4875687.5447	 diff2 = 	-232899.7324	 diff3 = 	-0.0076904	 diff4 = 	-182.0338	 diff5 = 	13314.9781	 diff6 = 	68686.5829	 diff7 = 	95979.8444	 diff8 = 	164666.4273
Iter = 	180	 relative error = 	1.8786	 diff_step = 	32793.4927	 diff = 	4807048.2639	 diff1 = 	4890833.9463	 diff2 = 	-272659.3076	 diff3 = 	-0.0079063	 diff4 = 	-188.2508	 diff5 = 	13193.1328	 diff6 = 	71434.4341	 diff7 = 	104434.3169	 diff8 = 	175868.7511
Iter = 	200	 relative error = 	2.8515	 diff_step = 	217299.5198	 diff = 	4076158.9398	 diff1 = 	5479024.8665	 diff2 = 	-1786118.4595	 diff3 = 	-0.0085834	 diff4 = 	-218.6256	 diff5 = 	12593.3678	 diff6 = 	100637.0915	 diff7 = 	270240.7077	 diff8 = 	370877.7991
Iter = 	220	 relative error = 	2.0318	 diff_step = 	809266.8683	 diff = 	5455869901199.054	 diff1 = 	5492113.6325	 diff2 = 	-5263079.6203	 diff3 = 	-0.0083122	 diff4 = 	-188.199	 diff5 = 	12920.5698	 diff6 = 	74024755.8516	 diff7 = 	5455795634676.827	 diff8 = 	5455869659432.679
Iter = 	240	 relative error = 	1.8415	 diff_step = 	285936.4435	 diff = 	5249619.1406	 diff1 = 	5297982.8941	 diff2 = 	-210112.9328	 diff3 = 	-0.0075374	 diff4 = 	-177.996	 diff5 = 	13141.6017	 diff6 = 	61110.1144	 diff7 = 	87675.4667	 diff8 = 	148785.5811
Iter = 	260	 relative error = 	1.8668	 diff_step = 	154341.7201	 diff = 	5173415.2612	 diff1 = 	5226338.1606	 diff2 = 	-220928.4229	 diff3 = 	-0.0077617	 diff4 = 	-182.9364	 diff5 = 	13758.1064	 diff6 = 	60975.1157	 diff7 = 	93455.2456	 diff8 = 	154430.3613
Iter = 	280	 relative error = 	1.8905	 diff_step = 	140611.8095	 diff = 	5085317.1117	 diff1 = 	5142092.4136	 diff2 = 	-231525.1253	 diff3 = 	-0.0080011	 diff4 = 	-189.0561	 diff5 = 	15122.0477	 diff6 = 	61112.4627	 diff7 = 	98704.3773	 diff8 = 	159816.8399
Iter = 	300	 relative error = 	1.9155	 diff_step = 	125186.7619	 diff = 	5016329.0105	 diff1 = 	5078417.478	 diff2 = 	-242737.5315	 diff3 = 	-0.0082452	 diff4 = 	-194.0804	 diff5 = 	15722.7332	 diff6 = 	61242.6857	 diff7 = 	103877.7338	 diff8 = 	165120.4194
Iter = 	320	 relative error = 	1.9426	 diff_step = 	108839.0137	 diff = 	4965001.0042	 diff1 = 	5033154.2624	 diff2 = 	-254839.1109	 diff3 = 	-0.0085082	 diff4 = 	-199.4434	 diff5 = 	15992.3521	 diff6 = 	61428.9531	 diff7 = 	109463.9994	 diff8 = 	170892.9525
Iter = 	340	 relative error = 	1.972	 diff_step = 	91256.3735	 diff = 	4925354.7668	 diff1 = 	5000218.1365	 diff2 = 	-267836.6017	 diff3 = 	-0.0087836	 diff4 = 	-204.5353	 diff5 = 	15950.018	 diff6 = 	61693.9355	 diff7 = 	115533.8226	 diff8 = 	177227.7581
Iter = 	360	 relative error = 	2.0041	 diff_step = 	81451.1837	 diff = 	4895585.5523	 diff1 = 	4977613.9953	 diff2 = 	-281876.8627	 diff3 = 	-0.0090654	 diff4 = 	-209.9433	 diff5 = 	15876.297	 diff6 = 	62027.8892	 diff7 = 	122154.1858	 diff8 = 	184182.075
Iter = 	380	 relative error = 	2.0388	 diff_step = 	64919.4497	 diff = 	4875288.4701	 diff1 = 	4964963.3575	 diff2 = 	-297094.5766	 diff3 = 	-0.0093514	 diff4 = 	-214.9199	 diff5 = 	15768.4059	 diff6 = 	62430.3668	 diff7 = 	129435.8458	 diff8 = 	191866.2126
Iter = 	400	 relative error = 	2.0758	 diff_step = 	52564.678	 diff = 	4860610.1746	 diff1 = 	4958417.2338	 diff2 = 	-313524.5325	 diff3 = 	-0.0096576	 diff4 = 	-220.0494	 diff5 = 	15647.8248	 diff6 = 	62891.7032	 diff7 = 	137398.0043	 diff8 = 	200289.7075
Iter = 	420	 relative error = 	2.1153	 diff_step = 	42312.2779	 diff = 	4850039.2358	 diff1 = 	4956469.1201	 diff2 = 	-331197.8238	 diff3 = 	-0.0099977	 diff4 = 	-225.9958	 diff5 = 	15538.965	 diff6 = 	63406.3834	 diff7 = 	146048.5969	 diff8 = 	209454.9803
