 iteration 1
Iter = 	20	 relative error = 	1.7488	 diff_step = 	1635341.0368	 diff = 	5010428.4637	 diff1 = 	5115995.4483	 diff2 = 	-182887.2927	 diff3 = 	-0.067455	 diff4 = 	-18.9003	 diff5 = 	11255.9945	 diff6 = 	58137.5108	 diff7 = 	7945.7705	 diff8 = 	66083.2813
Iter = 	40	 relative error = 	1.8267	 diff_step = 	275680.123	 diff = 	4849709.9744	 diff1 = 	4976885.98	 diff2 = 	-215803.7986	 diff3 = 	-0.076073	 diff4 = 	-19.7386	 diff5 = 	11092.1063	 diff6 = 	67809.7926	 diff7 = 	9745.7088	 diff8 = 	77555.5014
Iter = 	60	 relative error = 	1.9451	 diff_step = 	152525.7259	 diff = 	4772396.5591	 diff1 = 	4937225.9384	 diff2 = 	-264242.6795	 diff3 = 	-0.087122	 diff4 = 	-21.522	 diff5 = 	10534.5138	 diff6 = 	76433.6312	 diff7 = 	12466.7642	 diff8 = 	88900.3954
Iter = 	80	 relative error = 	2.122	 diff_step = 	100670.6337	 diff = 	4709488.1566	 diff1 = 	4939940.8167	 diff2 = 	-343789.3651	 diff3 = 	-0.10266	 diff4 = 	-24.465	 diff5 = 	9719.2733	 diff6 = 	86616.3469	 diff7 = 	17025.6525	 diff8 = 	103641.9994
Iter = 	100	 relative error = 	2.4247	 diff_step = 	83518.0562	 diff = 	4613398.0854	 diff1 = 	4994165.8827	 diff2 = 	-518539.6155	 diff3 = 	-0.12758	 diff4 = 	-29.6127	 diff5 = 	8619.6743	 diff6 = 	102819.4412	 diff7 = 	26362.443	 diff8 = 	129181.8841
Iter = 	120	 relative error = 	2.9228	 diff_step = 	3358146.3253	 diff = 	7.229031086196532e+21	 diff1 = 	19634007.5213	 diff2 = 	-332555.6817	 diff3 = 	-552.8792	 diff4 = 	-56.6656	 diff5 = 	5210.8171	 diff6 = 	8503583247095.439	 diff7 = 	7.22903107769293e+21	 diff8 = 	7.229031086196514e+21
Iter = 	140	 relative error = 	6.2692	 diff_step = 	7379917.6305	 diff = 	3.482318646053825e+21	 diff1 = 	72402000.5449	 diff2 = 	-117.0458	 diff3 = 	-2.1427e-07	 diff4 = 	-540.5386	 diff5 = 	637.8652	 diff6 = 	5901238591023.954	 diff7 = 	3.482318640152515e+21	 diff8 = 	3.482318646053753e+21
Iter = 	160	 relative error = 	12.3772	 diff_step = 	8255118.8573	 diff = 	-31849896.3302	 diff1 = 	30040539.3532	 diff2 = 	-127290623.2951	 diff3 = 	-1.197	 diff4 = 	-485.0269	 diff5 = 	615.584	 diff6 = 	6866250.6689	 diff7 = 	58533807.5828	 diff8 = 	65400058.2517
Iter = 	180	 relative error = 	4.3568	 diff_step = 	6267457.0042	 diff = 	1.519005952555992e+21	 diff1 = 	31582894.0284	 diff2 = 	-62400966.4474	 diff3 = 	-15.4146	 diff4 = 	-635.3893	 diff5 = 	6756.2611	 diff6 = 	3898340617999.436	 diff7 = 	1.519005948657682e+21	 diff8 = 	1.519005952556023e+21
Iter = 	200	 relative error = 	2.5181	 diff_step = 	6252002.1362	 diff = 	34257920.8928	 diff1 = 	34330699.2207	 diff2 = 	-206558.3925	 diff3 = 	-0.046251	 diff4 = 	-39.0698	 diff5 = 	8232.5625	 diff6 = 	85710.0793	 diff7 = 	39876.5389	 diff8 = 	125586.6183
Iter = 	220	 relative error = 	2.8118	 diff_step = 	4162156.0101	 diff = 	6697529.3922	 diff1 = 	7168468.5541	 diff2 = 	-618714.3413	 diff3 = 	-0.14142	 diff4 = 	-33.7314	 diff5 = 	5822.7152	 diff6 = 	91350.1838	 diff7 = 	50636.1531	 diff8 = 	141986.337
