 iteration 1
Iter = 	20	 relative error = 	1.4581	 diff_step = 	1665256.9792	 diff = 	5354373.8605	 diff1 = 	5094198.4106	 diff2 = 	-92739.1345	 diff3 = 	-414.9166	 diff4 = 	-1.1928	 diff5 = 	17455.8806	 diff6 = 	37940.1922	 diff7 = 	297934.621	 diff8 = 	335874.8133
Iter = 	40	 relative error = 	1.3551	 diff_step = 	273593.0627	 diff = 	5120301.6493	 diff1 = 	4937180.8283	 diff2 = 	-70089.0392	 diff3 = 	-338.9058	 diff4 = 	-0.91785	 diff5 = 	22593.6084	 diff6 = 	34263.9929	 diff7 = 	196692.0826	 diff8 = 	230956.0754
Iter = 	60	 relative error = 	1.3012	 diff_step = 	146605.7791	 diff = 	5026402.7322	 diff1 = 	4878056.5718	 diff2 = 	-58403.2838	 diff3 = 	-295.1952	 diff4 = 	-0.77537	 diff5 = 	26559.8163	 diff6 = 	31484.3913	 diff7 = 	149001.2072	 diff8 = 	180485.5985
Iter = 	80	 relative error = 	1.2674	 diff_step = 	89916.5955	 diff = 	4979982.6477	 diff1 = 	4850890.9098	 diff2 = 	-51131.0285	 diff3 = 	-265.8529	 diff4 = 	-0.68699	 diff5 = 	29780.0406	 diff6 = 	29389.1152	 diff7 = 	121320.1506	 diff8 = 	150709.2658
Iter = 	100	 relative error = 	1.2438	 diff_step = 	59669.5172	 diff = 	4954018.8738	 diff1 = 	4836843.1015	 diff2 = 	-46123.5766	 diff3 = 	-244.6304	 diff4 = 	-0.62635	 diff5 = 	32464.8089	 diff6 = 	27769.9978	 diff7 = 	103309.799	 diff8 = 	131079.7968
Iter = 	120	 relative error = 	1.2264	 diff_step = 	41923.0292	 diff = 	4938044.8346	 diff1 = 	4828787.7568	 diff2 = 	-42447.772	 diff3 = 	-228.5337	 diff4 = 	-0.58201	 diff5 = 	34737.2344	 diff6 = 	26491.8924	 diff7 = 	90704.8388	 diff8 = 	117196.7312
Iter = 	140	 relative error = 	1.2129	 diff_step = 	31336.0426	 diff = 	4927475.9584	 diff1 = 	4823746.8512	 diff2 = 	-39628.4085	 diff3 = 	-215.8874	 diff4 = 	-0.54812	 diff5 = 	36684.3975	 diff6 = 	25466.1496	 diff7 = 	81423.4042	 diff8 = 	106889.5539
Iter = 	160	 relative error = 	1.2021	 diff_step = 	24641.2432	 diff = 	4920126.7356	 diff1 = 	4820398.3339	 diff2 = 	-37395.8841	 diff3 = 	-205.6782	 diff4 = 	-0.52136	 diff5 = 	38369.985	 diff6 = 	24631.5577	 diff7 = 	74328.9426	 diff8 = 	98960.5003
Iter = 	180	 relative error = 	1.1934	 diff_step = 	20003.4747	 diff = 	4914831.9534	 diff1 = 	4818080.5897	 diff2 = 	-35585.1681	 diff3 = 	-197.2607	 diff4 = 	-0.49972	 diff5 = 	39840.5126	 diff6 = 	23944.7528	 diff7 = 	68749.0268	 diff8 = 	92693.7797
Iter = 	200	 relative error = 	1.1861	 diff_step = 	16664.4391	 diff = 	4910892.8057	 diff1 = 	4816406.5391	 diff2 = 	-34088.986	 diff3 = 	-190.2032	 diff4 = 	-0.48189	 diff5 = 	41130.3673	 diff6 = 	23374.687	 diff7 = 	64260.8834	 diff8 = 	87635.5704
Iter = 	220	 relative error = 	1.18	 diff_step = 	14196.8923	 diff = 	4907886.0109	 diff1 = 	4815155.4505	 diff2 = 	-32834.7221	 diff3 = 	-184.2044	 diff4 = 	-0.46697	 diff5 = 	42266.2982	 diff6 = 	22898.3491	 diff7 = 	60585.3065	 diff8 = 	83483.6556
Iter = 	240	 relative error = 	1.1748	 diff_step = 	12300.6563	 diff = 	4905541.7691	 diff1 = 	4814193.138	 diff2 = 	-31770.4856	 diff3 = 	-179.0466	 diff4 = 	-0.45433	 diff5 = 	43269.8534	 diff6 = 	22498.3458	 diff7 = 	57530.4184	 diff8 = 	80028.7642
Iter = 	260	 relative error = 	1.1703	 diff_step = 	10793.6495	 diff = 	4903682.5716	 diff1 = 	4813435.7199	 diff2 = 	-30858.1504	 diff3 = 	-174.5689	 diff4 = 	-0.44351	 diff5 = 	44158.7268	 diff6 = 	22161.2859	 diff7 = 	54960.0018	 diff8 = 	77121.2878
Iter = 	280	 relative error = 	1.1664	 diff_step = 	9554.6004	 diff = 	4902188.0998	 diff1 = 	4812829.3534	 diff2 = 	-30069.181	 diff3 = 	-170.6492	 diff4 = 	-0.43417	 diff5 = 	44947.6572	 diff6 = 	21876.6376	 diff7 = 	52774.716	 diff8 = 	74651.3536
Iter = 	300	 relative error = 	1.1631	 diff_step = 	8525.6118	 diff = 	4900973.1506	 diff1 = 	4812338.1347	 diff2 = 	-29382.9025	 diff3 = 	-167.1933	 diff4 = 	-0.42604	 diff5 = 	45649.0963	 diff6 = 	21636.0064	 diff7 = 	50900.435	 diff8 = 	72536.4414
