 iteration 1
Iter = 	20	 relative error = 	1.0706	 diff_step = 	1666295.9951	 diff = 	5980790.4347	 diff1 = 	5070911.4114	 diff2 = 	-251.9519	 diff3 = 	-0.0016985	 diff4 = 	-0.0051803	 diff5 = 	407679.3349	 diff6 = 	1696.71	 diff7 = 	500754.9372	 diff8 = 	502451.6472
Iter = 	40	 relative error = 	1.0558	 diff_step = 	234512.1832	 diff = 	5769008.818	 diff1 = 	4936928.3485	 diff2 = 	-201.3394	 diff3 = 	-0.0013628	 diff4 = 	-0.0040173	 diff5 = 	485219.9858	 diff6 = 	1688.5579	 diff7 = 	345373.2705	 diff8 = 	347061.8284
Iter = 	60	 relative error = 	1.0502	 diff_step = 	125771.0631	 diff = 	5706676.6558	 diff1 = 	4885938.595	 diff2 = 	-183.595	 diff3 = 	-0.0012407	 diff4 = 	-0.0036407	 diff5 = 	515182.247	 diff6 = 	1758.5819	 diff7 = 	303980.8318	 diff8 = 	305739.4137
Iter = 	80	 relative error = 	1.0475	 diff_step = 	78199.3378	 diff = 	5681487.1998	 diff1 = 	4861821.1844	 diff2 = 	-175.4429	 diff3 = 	-0.0011817	 diff4 = 	-0.0034816	 diff5 = 	528839.0773	 diff6 = 	1826.6451	 diff7 = 	289175.7405	 diff8 = 	291002.3856
Iter = 	100	 relative error = 	1.046	 diff_step = 	52946.9096	 diff = 	5669485.3963	 diff1 = 	4848741.0019	 diff2 = 	-171.1793	 diff3 = 	-0.0011491	 diff4 = 	-0.0034041	 diff5 = 	535957.1072	 diff6 = 	1878.428	 diff7 = 	283080.0431	 diff8 = 	284958.4711
Iter = 	120	 relative error = 	1.045	 diff_step = 	38276.4324	 diff = 	5663096.3976	 diff1 = 	4840996.5664	 diff2 = 	-168.777	 diff3 = 	-0.0011299	 diff4 = 	-0.0033623	 diff5 = 	540074.0956	 diff6 = 	1914.6462	 diff7 = 	280279.8708	 diff8 = 	282194.517
Iter = 	140	 relative error = 	1.0444	 diff_step = 	29039.5107	 diff = 	5659419.9287	 diff1 = 	4836141.5922	 diff2 = 	-167.3644	 diff3 = 	-0.0011181	 diff4 = 	-0.0033379	 diff5 = 	542639.8767	 diff6 = 	1939.1703	 diff7 = 	278866.6584	 diff8 = 	280805.8287
Iter = 	160	 relative error = 	1.0439	 diff_step = 	22747.7941	 diff = 	5657174.432	 diff1 = 	4832966.2364	 diff2 = 	-166.5149	 diff3 = 	-0.0011107	 diff4 = 	-0.003323	 diff5 = 	544316.8443	 diff6 = 	1955.6148	 diff7 = 	278102.2559	 diff8 = 	280057.8707
Iter = 	180	 relative error = 	1.0436	 diff_step = 	18344.9601	 diff = 	5655711.9827	 diff1 = 	4830796.2465	 diff2 = 	-165.999	 diff3 = 	-0.001106	 diff4 = 	-0.0033137	 diff5 = 	545442.42	 diff6 = 	1966.6616	 diff7 = 	277672.658	 diff8 = 	279639.3196
Iter = 	200	 relative error = 	1.0434	 diff_step = 	15230.7033	 diff = 	5654699.2485	 diff1 = 	4829250.9617	 diff2 = 	-165.6856	 diff3 = 	-0.001103	 diff4 = 	-0.0033078	 diff5 = 	546211.6161	 diff6 = 	1974.1268	 diff7 = 	277428.2337	 diff8 = 	279402.3606
Iter = 	220	 relative error = 	1.0432	 diff_step = 	12984.04	 diff = 	5653957.1998	 diff1 = 	4828107.6052	 diff2 = 	-165.4966	 diff3 = 	-0.0011012	 diff4 = 	-0.0033041	 diff5 = 	546745.2751	 diff6 = 	1979.2127	 diff7 = 	277290.6078	 diff8 = 	279269.8205
