 iteration 1
Iter = 	20	 relative error = 	1.0706	 diff_step = 	1666316.558	 diff = 	5980833.425	 diff1 = 	5070930.6432	 diff2 = 	-251.9861	 diff3 = 	-0.016988	 diff4 = 	-51.876	 diff5 = 	407611.8204	 diff6 = 	1697.0412	 diff7 = 	500897.7993	 diff8 = 	502594.8405
Iter = 	40	 relative error = 	1.0558	 diff_step = 	234526.4561	 diff = 	5768985.4387	 diff1 = 	4936934.5274	 diff2 = 	-201.351	 diff3 = 	-0.013629	 diff4 = 	-40.2303	 diff5 = 	485187.2391	 diff6 = 	1688.6985	 diff7 = 	345416.5686	 diff8 = 	347105.2671
Iter = 	60	 relative error = 	1.0502	 diff_step = 	125775.7472	 diff = 	5706646.6956	 diff1 = 	4885942.0513	 diff2 = 	-183.6014	 diff3 = 	-0.012408	 diff4 = 	-36.4632	 diff5 = 	515162.632	 diff6 = 	1758.6602	 diff7 = 	304003.4291	 diff8 = 	305762.0894
Iter = 	80	 relative error = 	1.0475	 diff_step = 	78202.0816	 diff = 	5681455.8906	 diff1 = 	4861823.5938	 diff2 = 	-175.4476	 diff3 = 	-0.011817	 diff4 = 	-34.8733	 diff5 = 	528824.5124	 diff6 = 	1826.6987	 diff7 = 	289191.4185	 diff8 = 	291018.1172
Iter = 	100	 relative error = 	1.046	 diff_step = 	52949.3739	 diff = 	5669453.5108	 diff1 = 	4848742.8652	 diff2 = 	-171.1833	 diff3 = 	-0.011492	 diff4 = 	-34.101	 diff5 = 	535944.4444	 diff6 = 	1878.4719	 diff7 = 	283093.0252	 diff8 = 	284971.4971
Iter = 	120	 relative error = 	1.045	 diff_step = 	38278.873	 diff = 	5663064.1107	 diff1 = 	4840998.0572	 diff2 = 	-168.7808	 diff3 = 	-0.0113	 diff4 = 	-33.6849	 diff5 = 	540062.123	 diff6 = 	1914.6865	 diff7 = 	280291.721	 diff8 = 	282206.4075
Iter = 	140	 relative error = 	1.0444	 diff_step = 	29041.9554	 diff = 	5659387.3053	 diff1 = 	4836142.7869	 diff2 = 	-167.3681	 diff3 = 	-0.011182	 diff4 = 	-33.443	 diff5 = 	542628.134	 diff6 = 	1939.2094	 diff7 = 	278877.9973	 diff8 = 	280817.2067
Iter = 	160	 relative error = 	1.0439	 diff_step = 	22750.1809	 diff = 	5657141.5442	 diff1 = 	4832967.2065	 diff2 = 	-166.5185	 diff3 = 	-0.011108	 diff4 = 	-33.2955	 diff5 = 	544305.1692	 diff6 = 	1955.6534	 diff7 = 	278113.3402	 diff8 = 	280068.9936
Iter = 	180	 relative error = 	1.0436	 diff_step = 	18347.1783	 diff = 	5655678.8844	 diff1 = 	4830797.0434	 diff2 = 	-166.0026	 diff3 = 	-0.011061	 diff4 = 	-33.2037	 diff5 = 	545430.7559	 diff6 = 	1966.7001	 diff7 = 	277683.6023	 diff8 = 	279650.3025
Iter = 	200	 relative error = 	1.0434	 diff_step = 	15232.5813	 diff = 	5654665.9895	 diff1 = 	4829251.6354	 diff2 = 	-165.6891	 diff3 = 	-0.011031	 diff4 = 	-33.1456	 diff5 = 	546199.9402	 diff6 = 	1974.1653	 diff7 = 	277439.0944	 diff8 = 	279413.2597
Iter = 	220	 relative error = 	1.0432	 diff_step = 	12985.5465	 diff = 	5653923.815	 diff1 = 	4828108.1903	 diff2 = 	-165.5002	 diff3 = 	-0.011013	 diff4 = 	-33.1087	 diff5 = 	546733.579	 diff6 = 	1979.251	 diff7 = 	277301.4145	 diff8 = 	279280.6655
