 iteration 1
Iter = 	20	 relative error = 	1.0706	 diff_step = 	1666305.737	 diff = 	5980796.1371	 diff1 = 	5070906.3697	 diff2 = 	-251.9651	 diff3 = 	-16.9892	 diff4 = 	-5.1812	 diff5 = 	407664.233	 diff6 = 	1696.7904	 diff7 = 	500802.8795	 diff8 = 	502499.67
Iter = 	40	 relative error = 	1.0558	 diff_step = 	234510.4876	 diff = 	5768996.3417	 diff1 = 	4936925.6206	 diff2 = 	-201.3446	 diff3 = 	-13.631	 diff4 = 	-4.0179	 diff5 = 	485212.3941	 diff6 = 	1688.5869	 diff7 = 	345388.7337	 diff8 = 	347077.3206
Iter = 	60	 relative error = 	1.0502	 diff_step = 	125769.4011	 diff = 	5706662.7256	 diff1 = 	4885937.2563	 diff2 = 	-183.5983	 diff3 = 	-12.4094	 diff4 = 	-3.6413	 diff5 = 	515176.8293	 diff6 = 	1758.5975	 diff7 = 	303989.6915	 diff8 = 	305748.289
Iter = 	80	 relative error = 	1.0475	 diff_step = 	78198.5185	 diff = 	5681473.0623	 diff1 = 	4861820.4401	 diff2 = 	-175.4455	 diff3 = 	-11.819	 diff4 = 	-3.4821	 diff5 = 	528834.3106	 diff6 = 	1826.6568	 diff7 = 	289182.4015	 diff8 = 	291009.0582
Iter = 	100	 relative error = 	1.046	 diff_step = 	52946.7333	 diff = 	5669471.2042	 diff1 = 	4848740.5195	 diff2 = 	-171.1815	 diff3 = 	-11.4936	 diff4 = 	-3.4047	 diff5 = 	535952.5145	 diff6 = 	1878.4386	 diff7 = 	283085.8115	 diff8 = 	284964.2501
Iter = 	120	 relative error = 	1.045	 diff_step = 	38276.5186	 diff = 	5663082.1955	 diff1 = 	4840996.224	 diff2 = 	-168.7791	 diff3 = 	-11.3013	 diff4 = 	-3.3629	 diff5 = 	540069.5332	 diff6 = 	1914.6567	 diff7 = 	280285.2249	 diff8 = 	282199.8816
Iter = 	140	 relative error = 	1.0444	 diff_step = 	29039.6285	 diff = 	5659405.7365	 diff1 = 	4836141.3439	 diff2 = 	-167.3664	 diff3 = 	-11.1832	 diff4 = 	-3.3386	 diff5 = 	542635.3032	 diff6 = 	1939.1809	 diff7 = 	278871.7967	 diff8 = 	280810.9775
Iter = 	160	 relative error = 	1.0439	 diff_step = 	22747.8846	 diff = 	5657160.2534	 diff1 = 	4832966.0587	 diff2 = 	-166.5168	 diff3 = 	-11.1091	 diff4 = 	-3.3237	 diff5 = 	544312.2486	 diff6 = 	1955.6254	 diff7 = 	278107.2704	 diff8 = 	280062.8957
Iter = 	180	 relative error = 	1.0436	 diff_step = 	18344.9919	 diff = 	5655697.8196	 diff1 = 	4830796.1288	 diff2 = 	-166.0009	 diff3 = 	-11.0622	 diff4 = 	-3.3144	 diff5 = 	545437.8003	 diff6 = 	1966.6721	 diff7 = 	277677.5959	 diff8 = 	279644.2681
Iter = 	200	 relative error = 	1.0434	 diff_step = 	15230.6911	 diff = 	5654685.0993	 diff1 = 	4829250.8951	 diff2 = 	-165.6875	 diff3 = 	-11.0325	 diff4 = 	-3.3086	 diff5 = 	546206.9739	 diff6 = 	1974.1373	 diff7 = 	277433.1216	 diff8 = 	279407.259
Iter = 	220	 relative error = 	1.0432	 diff_step = 	12984.0024	 diff = 	5653943.0614	 diff1 = 	4828107.5812	 diff2 = 	-165.4985	 diff3 = 	-11.0137	 diff4 = 	-3.3048	 diff5 = 	546740.6124	 diff6 = 	1979.223	 diff7 = 	277295.4618	 diff8 = 	279274.6849
Iter = 	240	 relative error = 	1.043	 diff_step = 	11310.9724	 diff = 	5653374.207	 diff1 = 	4827234.6397	 diff2 = 	-165.3867	 diff3 = 	-11.0019	 diff4 = 	-3.3025	 diff5 = 	547115.9397	 diff6 = 	1982.7142	 diff7 = 	277220.6044	 diff8 = 	279203.3186
Iter = 	260	 relative error = 	1.0429	 diff_step = 	10019.2584	 diff = 	5652921.4151	 diff1 = 	4826549.923	 diff2 = 	-165.3227	 diff3 = 	-10.9946	 diff4 = 	-3.3011	 diff5 = 	547383.2662	 diff6 = 	1985.1219	 diff7 = 	277182.7224	 diff8 = 	279167.8443
Iter = 	280	 relative error = 	1.0428	 diff_step = 	8989.41	 diff = 	5652550.2904	 diff1 = 	4826000.6903	 diff2 = 	-165.2887	 diff3 = 	-10.9901	 diff4 = 	-3.3003	 diff5 = 	547575.9706	 diff6 = 	1986.7836	 diff7 = 	277166.4251	 diff8 = 	279153.2087
Iter = 	300	 relative error = 	1.0427	 diff_step = 	8138.9141	 diff = 	5652240.6958	 diff1 = 	4825553.3768	 diff2 = 	-165.2732	 diff3 = 	-10.9874	 diff4 = 	-3.2999	 diff5 = 	547716.4473	 diff6 = 	1987.9266	 diff7 = 	277162.5057	 diff8 = 	279150.4323
Iter = 	320	 relative error = 	1.0427	 diff_step = 	7404.9984	 diff = 	5651981.6424	 diff1 = 	4825187.4202	 diff2 = 	-165.2692	 diff3 = 	-10.9858	 diff4 = 	-3.2999	 diff5 = 	547819.7496	 diff6 = 	1988.7033	 diff7 = 	277165.3244	 diff8 = 	279154.0277
Iter = 	340	 relative error = 	1.0426	 diff_step = 	6741.2971	 diff = 	5651765.5447	 diff1 = 	4824888.4958	 diff2 = 	-165.2723	 diff3 = 	-10.9849	 diff4 = 	-3.3001	 diff5 = 	547896.0117	 diff6 = 	1989.215	 diff7 = 	277171.3796	 diff8 = 	279160.5946
Iter = 	360	 relative error = 	1.0426	 diff_step = 	6137.0705	 diff = 	5651584.5941	 diff1 = 	4824643.6135	 diff2 = 	-165.2795	 diff3 = 	-10.9845	 diff4 = 	-3.3004	 diff5 = 	547952.3735	 diff6 = 	1989.5359	 diff7 = 	277178.6356	 diff8 = 	279168.1714
Iter = 	380	 relative error = 	1.0425	 diff_step = 	5597.2989	 diff = 	5651432.3275	 diff1 = 	4824442.0636	 diff2 = 	-165.2892	 diff3 = 	-10.9842	 diff4 = 	-3.3007	 diff5 = 	547994.1139	 diff6 = 	1989.7216	 diff7 = 	277186.0026	 diff8 = 	279175.7242
Iter = 	400	 relative error = 	1.0425	 diff_step = 	5103.6756	 diff = 	5651305.2896	 diff1 = 	4824277.4167	 diff2 = 	-165.3	 diff3 = 	-10.9841	 diff4 = 	-3.3011	 diff5 = 	548024.848	 diff6 = 	1989.8078	 diff7 = 	277192.8024	 diff8 = 	279182.6102
Iter = 	420	 relative error = 	1.0425	 diff_step = 	4643.1003	 diff = 	5651199.0191	 diff1 = 	4824142.8993	 diff2 = 	-165.3115	 diff3 = 	-10.9841	 diff4 = 	-3.3015	 diff5 = 	548047.1895	 diff6 = 	1989.8209	 diff7 = 	277198.7065	 diff8 = 	279188.5275
Iter = 	440	 relative error = 	1.0424	 diff_step = 	4220.1637	 diff = 	5651109.5422	 diff1 = 	4824032.4493	 diff2 = 	-165.323	 diff3 = 	-10.9842	 diff4 = 	-3.302	 diff5 = 	548063.2621	 diff6 = 	1989.7821	 diff7 = 	277203.6577	 diff8 = 	279193.4399
Iter = 	460	 relative error = 	1.0424	 diff_step = 	3843.1909	 diff = 	5651033.2759	 diff1 = 	4823940.8255	 diff2 = 	-165.3342	 diff3 = 	-10.9843	 diff4 = 	-3.3024	 diff5 = 	548074.6178	 diff6 = 	1989.7082	 diff7 = 	277207.7453	 diff8 = 	279197.4535
Iter = 	480	 relative error = 	1.0424	 diff_step = 	3496.1994	 diff = 	5650969.2476	 diff1 = 	4823865.9058	 diff2 = 	-165.3451	 diff3 = 	-10.9844	 diff4 = 	-3.3028	 diff5 = 	548082.3743	 diff6 = 	1989.6088	 diff7 = 	277210.991	 diff8 = 	279200.5998
Iter = 	500	 relative error = 	1.0424	 diff_step = 	3178.4386	 diff = 	5650914.4274	 diff1 = 	4823803.6179	 diff2 = 	-165.3554	 diff3 = 	-10.9845	 diff4 = 	-3.3032	 diff5 = 	548087.4309	 diff6 = 	1989.4926	 diff7 = 	277213.5292	 diff8 = 	279203.0218
Iter = 	520	 relative error = 	1.0424	 diff_step = 	2908.6739	 diff = 	5650866.5937	 diff1 = 	4823750.9655	 diff2 = 	-165.365	 diff3 = 	-10.9847	 diff4 = 	-3.3036	 diff5 = 	548090.4063	 diff6 = 	1989.3679	 diff7 = 	277215.5072	 diff8 = 	279204.8751
Iter = 	540	 relative error = 	1.0424	 diff_step = 	2668.5856	 diff = 	5650825.0205	 diff1 = 	4823706.711	 diff2 = 	-165.3741	 diff3 = 	-10.9848	 diff4 = 	-3.304	 diff5 = 	548091.7537	 diff6 = 	1989.239	 diff7 = 	277216.9796	 diff8 = 	279206.2186
Iter = 	560	 relative error = 	1.0423	 diff_step = 	2450.8861	 diff = 	5650788.303	 diff1 = 	4823668.9562	 diff2 = 	-165.3825	 diff3 = 	-10.9849	 diff4 = 	-3.3043	 diff5 = 	548091.8884	 diff6 = 	1989.1099	 diff7 = 	277218.0201	 diff8 = 	279207.13
Iter = 	580	 relative error = 	1.0423	 diff_step = 	2264.1612	 diff = 	5650755.9915	 diff1 = 	4823636.737	 diff2 = 	-165.3902	 diff3 = 	-10.985	 diff4 = 	-3.3046	 diff5 = 	548091.2494	 diff6 = 	1988.9833	 diff7 = 	277218.7018	 diff8 = 	279207.6851
