 iteration 1
Iter = 	20	 relative error = 	1.0706	 diff_step = 	1666296.7614	 diff = 	5980790.5727	 diff1 = 	5070910.7183	 diff2 = 	-251.9529	 diff3 = 	-1.6985	 diff4 = 	-0.00051803	 diff5 = 	407678.5019	 diff6 = 	1696.7148	 diff7 = 	500758.2897	 diff8 = 	502455.0045
Iter = 	40	 relative error = 	1.0558	 diff_step = 	234511.8723	 diff = 	5769007.8068	 diff1 = 	4936928.0156	 diff2 = 	-201.3398	 diff3 = 	-1.3628	 diff4 = 	-0.00040173	 diff5 = 	485219.555	 diff6 = 	1688.5593	 diff7 = 	345374.3799	 diff8 = 	347062.9392
Iter = 	60	 relative error = 	1.0502	 diff_step = 	125770.8512	 diff = 	5706675.5655	 diff1 = 	4885938.4274	 diff2 = 	-183.5953	 diff3 = 	-1.2407	 diff4 = 	-0.00036407	 diff5 = 	515181.9022	 diff6 = 	1758.5827	 diff7 = 	303981.4896	 diff8 = 	305740.0722
Iter = 	80	 relative error = 	1.0475	 diff_step = 	78199.2292	 diff = 	5681486.1023	 diff1 = 	4861821.0864	 diff2 = 	-175.4431	 diff3 = 	-1.1817	 diff4 = 	-0.00034815	 diff5 = 	528838.7472	 diff6 = 	1826.6457	 diff7 = 	289176.2482	 diff8 = 	291002.8939
Iter = 	100	 relative error = 	1.046	 diff_step = 	52946.8676	 diff = 	5669484.2992	 diff1 = 	4848740.9353	 diff2 = 	-171.1795	 diff3 = 	-1.1492	 diff4 = 	-0.00034041	 diff5 = 	535956.7756	 diff6 = 	1878.4286	 diff7 = 	283080.4887	 diff8 = 	284958.9173
Iter = 	120	 relative error = 	1.045	 diff_step = 	38276.4167	 diff = 	5663095.3035	 diff1 = 	4840996.5175	 diff2 = 	-168.7771	 diff3 = 	-1.1299	 diff4 = 	-0.00033623	 diff5 = 	540073.7601	 diff6 = 	1914.6468	 diff7 = 	280280.2865	 diff8 = 	282194.9333
Iter = 	140	 relative error = 	1.0444	 diff_step = 	29039.4981	 diff = 	5659418.8389	 diff1 = 	4836141.5556	 diff2 = 	-167.3646	 diff3 = 	-1.1181	 diff4 = 	-0.00033379	 diff5 = 	542639.5378	 diff6 = 	1939.171	 diff7 = 	278867.0576	 diff8 = 	280806.2286
Iter = 	160	 relative error = 	1.0439	 diff_step = 	22747.7793	 diff = 	5657173.3462	 diff1 = 	4832966.209	 diff2 = 	-166.5151	 diff3 = 	-1.1107	 diff4 = 	-0.0003323	 diff5 = 	544316.5025	 diff6 = 	1955.6155	 diff7 = 	278102.6453	 diff8 = 	280058.2608
Iter = 	180	 relative error = 	1.0436	 diff_step = 	18344.9412	 diff = 	5655710.9005	 diff1 = 	4830796.2269	 diff2 = 	-165.9992	 diff3 = 	-1.106	 diff4 = 	-0.00033137	 diff5 = 	545442.0757	 diff6 = 	1966.6623	 diff7 = 	277673.0412	 diff8 = 	279639.7035
Iter = 	200	 relative error = 	1.0434	 diff_step = 	15230.6833	 diff = 	5654698.1693	 diff1 = 	4829250.9484	 diff2 = 	-165.6857	 diff3 = 	-1.1031	 diff4 = 	-0.00033078	 diff5 = 	546211.2697	 diff6 = 	1974.1275	 diff7 = 	277428.6128	 diff8 = 	279402.7403
Iter = 	220	 relative error = 	1.0432	 diff_step = 	12984.0212	 diff = 	5653956.1229	 diff1 = 	4828107.597	 diff2 = 	-165.4968	 diff3 = 	-1.1012	 diff4 = 	-0.00033041	 diff5 = 	546744.9268	 diff6 = 	1979.2133	 diff7 = 	277290.9841	 diff8 = 	279270.1974
Iter = 	240	 relative error = 	1.043	 diff_step = 	11310.9831	 diff = 	5653387.2643	 diff1 = 	4827234.6259	 diff2 = 	-165.3849	 diff3 = 	-1.1	 diff4 = 	-0.00033017	 diff5 = 	547120.2707	 diff6 = 	1982.7046	 diff7 = 	277216.1482	 diff8 = 	279198.8528
Iter = 	260	 relative error = 	1.0429	 diff_step = 	10019.2422	 diff = 	5652934.4721	 diff1 = 	4826549.8866	 diff2 = 	-165.321	 diff3 = 	-1.0993	 diff4 = 	-0.00033003	 diff5 = 	547387.612	 diff6 = 	1985.1125	 diff7 = 	277178.2817	 diff8 = 	279163.3941
Iter = 	280	 relative error = 	1.0428	 diff_step = 	8989.3549	 diff = 	5652563.3498	 diff1 = 	4826000.6364	 diff2 = 	-165.2869	 diff3 = 	-1.0988	 diff4 = 	-0.00032995	 diff5 = 	547580.3296	 diff6 = 	1986.7743	 diff7 = 	277161.9957	 diff8 = 	279148.7699
Iter = 	300	 relative error = 	1.0427	 diff_step = 	8138.8283	 diff = 	5652253.7596	 diff1 = 	4825553.3095	 diff2 = 	-165.2715	 diff3 = 	-1.0986	 diff4 = 	-0.00032992	 diff5 = 	547720.8184	 diff6 = 	1987.9174	 diff7 = 	277158.0848	 diff8 = 	279146.0021
Iter = 	320	 relative error = 	1.0427	 diff_step = 	7404.8806	 diff = 	5651994.7128	 diff1 = 	4825187.3436	 diff2 = 	-165.2675	 diff3 = 	-1.0984	 diff4 = 	-0.00032991	 diff5 = 	547824.1313	 diff6 = 	1988.6941	 diff7 = 	277160.9101	 diff8 = 	279149.6042
Iter = 	340	 relative error = 	1.0426	 diff_step = 	6741.149	 diff = 	5651778.6225	 diff1 = 	4824888.4125	 diff2 = 	-165.2706	 diff3 = 	-1.0983	 diff4 = 	-0.00032993	 diff5 = 	547900.4027	 diff6 = 	1989.206	 diff7 = 	277166.9705	 diff8 = 	279156.1765
Iter = 	360	 relative error = 	1.0426	 diff_step = 	6136.9232	 diff = 	5651597.6778	 diff1 = 	4824643.5234	 diff2 = 	-165.2778	 diff3 = 	-1.0983	 diff4 = 	-0.00032996	 diff5 = 	547956.7731	 diff6 = 	1989.5269	 diff7 = 	277174.2309	 diff8 = 	279163.7578
Iter = 	380	 relative error = 	1.0425	 diff_step = 	5597.1679	 diff = 	5651445.4186	 diff1 = 	4824441.9695	 diff2 = 	-165.2874	 diff3 = 	-1.0982	 diff4 = 	-0.00032999	 diff5 = 	547998.521	 diff6 = 	1989.7127	 diff7 = 	277181.6014	 diff8 = 	279171.3142
Iter = 	400	 relative error = 	1.0425	 diff_step = 	5103.5505	 diff = 	5651318.3886	 diff1 = 	4824277.3209	 diff2 = 	-165.2983	 diff3 = 	-1.0982	 diff4 = 	-0.00033003	 diff5 = 	548029.2615	 diff6 = 	1989.7991	 diff7 = 	277188.404	 diff8 = 	279178.2031
Iter = 	420	 relative error = 	1.0425	 diff_step = 	4642.9431	 diff = 	5651212.1259	 diff1 = 	4824142.803	 diff2 = 	-165.3097	 diff3 = 	-1.0982	 diff4 = 	-0.00033007	 diff5 = 	548051.6087	 diff6 = 	1989.8122	 diff7 = 	277194.3103	 diff8 = 	279184.1225
Iter = 	440	 relative error = 	1.0424	 diff_step = 	4220.0203	 diff = 	5651122.6544	 diff1 = 	4824032.3508	 diff2 = 	-165.3212	 diff3 = 	-1.0982	 diff4 = 	-0.00033012	 diff5 = 	548067.6865	 diff6 = 	1989.7735	 diff7 = 	277199.2634	 diff8 = 	279189.0369
Iter = 	460	 relative error = 	1.0424	 diff_step = 	3843.077	 diff = 	5651046.394	 diff1 = 	4823940.7261	 diff2 = 	-165.3325	 diff3 = 	-1.0982	 diff4 = 	-0.00033016	 diff5 = 	548079.0468	 diff6 = 	1989.6996	 diff7 = 	277203.3525	 diff8 = 	279193.0521
Iter = 	480	 relative error = 	1.0424	 diff_step = 	3496.063	 diff = 	5650982.3718	 diff1 = 	4823865.8066	 diff2 = 	-165.3434	 diff3 = 	-1.0983	 diff4 = 	-0.0003302	 diff5 = 	548086.8077	 diff6 = 	1989.6003	 diff7 = 	277206.5993	 diff8 = 	279196.1995
Iter = 	500	 relative error = 	1.0424	 diff_step = 	3178.3287	 diff = 	5650927.5551	 diff1 = 	4823803.5166	 diff2 = 	-165.3536	 diff3 = 	-1.0983	 diff4 = 	-0.00033024	 diff5 = 	548091.868	 diff6 = 	1989.4841	 diff7 = 	277209.1386	 diff8 = 	279198.6227
Iter = 	520	 relative error = 	1.0424	 diff_step = 	2908.5854	 diff = 	5650879.7244	 diff1 = 	4823750.8627	 diff2 = 	-165.3633	 diff3 = 	-1.0983	 diff4 = 	-0.00033028	 diff5 = 	548094.8467	 diff6 = 	1989.3595	 diff7 = 	277211.1175	 diff8 = 	279200.477
Iter = 	540	 relative error = 	1.0424	 diff_step = 	2668.5101	 diff = 	5650838.1534	 diff1 = 	4823706.6062	 diff2 = 	-165.3723	 diff3 = 	-1.0983	 diff4 = 	-0.00033032	 diff5 = 	548096.1969	 diff6 = 	1989.2306	 diff7 = 	277212.5907	 diff8 = 	279201.8213
