 iteration 1
Iter = 	20	 relative error = 	1.096	 diff_step = 	1607386.8993	 diff = 	5189302.4615	 diff1 = 	5074712.2278	 diff2 = 	-9263.005	 diff3 = 	-58.2609	 diff4 = 	-165.6532	 diff5 = 	12706.565	 diff6 = 	51913.7053	 diff7 = 	59456.8826	 diff8 = 	111370.5879
Iter = 	40	 relative error = 	1.0791	 diff_step = 	269267.6524	 diff = 	5038122.3171	 diff1 = 	4925311.8297	 diff2 = 	-8761.9979	 diff3 = 	-55.8812	 diff4 = 	-149.3653	 diff5 = 	14146.7564	 diff6 = 	54119.0177	 diff7 = 	53511.9576	 diff8 = 	107630.9753
Iter = 	60	 relative error = 	1.0725	 diff_step = 	144203.2072	 diff = 	4979018.4292	 diff1 = 	4869465.4217	 diff2 = 	-8332.8074	 diff3 = 	-53.5547	 diff4 = 	-138.5922	 diff5 = 	15229.0961	 diff6 = 	54139.0951	 diff7 = 	48709.7707	 diff8 = 	102848.8658
Iter = 	80	 relative error = 	1.0688	 diff_step = 	88410.9251	 diff = 	4950239.6369	 diff1 = 	4844054.0344	 diff2 = 	-7960.8534	 diff3 = 	-51.3778	 diff4 = 	-130.6423	 diff5 = 	16117.9718	 diff6 = 	53447.8486	 diff7 = 	44762.6556	 diff8 = 	98210.5043
Iter = 	100	 relative error = 	1.0664	 diff_step = 	58638.0651	 diff = 	4934148.8518	 diff1 = 	4831092.2494	 diff2 = 	-7636.5071	 diff3 = 	-49.4192	 diff4 = 	-124.3876	 diff5 = 	16879.2673	 diff6 = 	52511.861	 diff7 = 	41475.788	 diff8 = 	93987.649
Iter = 	120	 relative error = 	1.0646	 diff_step = 	41201.833	 diff = 	4924022.2045	 diff1 = 	4823776.22	 diff2 = 	-7351.5356	 diff3 = 	-47.6801	 diff4 = 	-119.2683	 diff5 = 	17545.7912	 diff6 = 	51515.1419	 diff7 = 	38703.5355	 diff8 = 	90218.6773
Iter = 	140	 relative error = 	1.0632	 diff_step = 	30826.7686	 diff = 	4917029.1149	 diff1 = 	4819276.1666	 diff2 = 	-7099.3592	 diff3 = 	-46.1349	 diff4 = 	-114.9571	 diff5 = 	18140.2429	 diff6 = 	50535.9443	 diff7 = 	36337.2124	 diff8 = 	86873.1567
Iter = 	160	 relative error = 	1.062	 diff_step = 	24242.5574	 diff = 	4911895.7339	 diff1 = 	4816346.4239	 diff2 = 	-6874.6897	 diff3 = 	-44.755	 diff4 = 	-111.2492	 diff5 = 	18678.5702	 diff6 = 	49605.8873	 diff7 = 	34295.5465	 diff8 = 	83901.4338
Iter = 	180	 relative error = 	1.0609	 diff_step = 	19672.9496	 diff = 	4907958.9144	 diff1 = 	4814358.7479	 diff2 = 	-6673.3107	 diff3 = 	-43.5158	 diff4 = 	-108.0133	 diff5 = 	19171.5306	 diff6 = 	48736.203	 diff7 = 	32517.2729	 diff8 = 	81253.4759
Iter = 	200	 relative error = 	1.06	 diff_step = 	16386.8362	 diff = 	4904822.1581	 diff1 = 	4812949.9892	 diff2 = 	-6491.8269	 diff3 = 	-42.3974	 diff4 = 	-105.1567	 diff5 = 	19626.3255	 diff6 = 	47929.5703	 diff7 = 	30955.6542	 diff8 = 	78885.2245
Iter = 	220	 relative error = 	1.0592	 diff_step = 	13954.6189	 diff = 	4902250.7666	 diff1 = 	4811915.2499	 diff2 = 	-6327.4659	 diff3 = 	-41.3832	 diff4 = 	-102.6105	 diff5 = 	20048.1883	 diff6 = 	47184.3836	 diff7 = 	29574.4044	 diff8 = 	76758.788
Iter = 	240	 relative error = 	1.0585	 diff_step = 	12084.1511	 diff = 	4900096.158	 diff1 = 	4811131.6179	 diff2 = 	-6177.9492	 diff3 = 	-40.4593	 diff4 = 	-100.3231	 diff5 = 	20441.1896	 diff6 = 	46497.177	 diff7 = 	28344.9051	 diff8 = 	74842.0821
Iter = 	260	 relative error = 	1.0578	 diff_step = 	10596.7061	 diff = 	4898260.3969	 diff1 = 	4810523.0009	 diff2 = 	-6041.389	 diff3 = 	-39.6143	 diff4 = 	-98.2543	 diff5 = 	20808.5696	 diff6 = 	45863.7975	 diff7 = 	27244.2867	 diff8 = 	73108.0842
Iter = 	280	 relative error = 	1.0573	 diff_step = 	9382.3533	 diff = 	4896676.4903	 diff1 = 	4810040.8956	 diff2 = 	-5916.2009	 diff3 = 	-38.8386	 diff4 = 	-96.3729	 diff5 = 	21152.9439	 diff6 = 	45279.9979	 diff7 = 	26254.0652	 diff8 = 	71534.0631
Iter = 	300	 relative error = 	1.0567	 diff_step = 	8374.8091	 diff = 	4895297.4182	 diff1 = 	4809653.919	 diff2 = 	-5801.0411	 diff3 = 	-38.1238	 diff4 = 	-94.6535	 diff5 = 	21476.4614	 diff6 = 	44741.7136	 diff7 = 	25359.1426	 diff8 = 	70100.8563
Iter = 	320	 relative error = 	1.0562	 diff_step = 	7523.6247	 diff = 	4894088.7336	 diff1 = 	4809340.9608	 diff2 = 	-5694.7744	 diff3 = 	-37.4629	 diff4 = 	-93.0759	 diff5 = 	21780.9156	 diff6 = 	44245.1162	 diff7 = 	24547.0541	 diff8 = 	68792.1703
Iter = 	340	 relative error = 	1.0558	 diff_step = 	6788.05	 diff = 	4893023.0197	 diff1 = 	4809086.0453	 diff2 = 	-5596.4398	 diff3 = 	-36.85	 diff4 = 	-91.6229	 diff5 = 	22067.8344	 diff6 = 	43786.6495	 diff7 = 	23807.4032	 diff8 = 	67594.0527
Iter = 	360	 relative error = 	1.0554	 diff_step = 	6147.7764	 diff = 	4892077.2492	 diff1 = 	4808875.9463	 diff2 = 	-5505.2206	 diff3 = 	-36.2798	 diff4 = 	-90.2809	 diff5 = 	22338.5518	 diff6 = 	43363.0877	 diff7 = 	23131.4447	 diff8 = 	66494.5325
Iter = 	380	 relative error = 	1.055	 diff_step = 	5594.0105	 diff = 	4891232.9548	 diff1 = 	4808700.6083	 diff2 = 	-5420.4071	 diff3 = 	-35.7481	 diff4 = 	-89.038	 diff5 = 	22594.249	 diff6 = 	42971.5202	 diff7 = 	22511.7706	 diff8 = 	65483.2908
Iter = 	400	 relative error = 	1.0546	 diff_step = 	5102.8316	 diff = 	4890476.0445	 diff1 = 	4808553.2238	 diff2 = 	-5341.3752	 diff3 = 	-35.251	 diff4 = 	-87.8841	 diff5 = 	22835.9825	 diff6 = 	42609.2824	 diff7 = 	21942.0661	 diff8 = 	64551.3485
Iter = 	420	 relative error = 	1.0543	 diff_step = 	4664.3704	 diff = 	4889794.7502	 diff1 = 	4808428.3535	 diff2 = 	-5267.5817	 diff3 = 	-34.7854	 diff4 = 	-86.8102	 diff5 = 	23064.7005	 diff6 = 	42273.9558	 diff7 = 	21416.9177	 diff8 = 	63690.8734
Iter = 	440	 relative error = 	1.054	 diff_step = 	4272.9659	 diff = 	4889179.2079	 diff1 = 	4808321.6365	 diff2 = 	-5198.5514	 diff3 = 	-34.3483	 diff4 = 	-85.8088	 diff5 = 	23281.2575	 diff6 = 	41963.3631	 diff7 = 	20931.6593	 diff8 = 	62895.0224
