 iteration 1
Iter = 	20	 relative error = 	1.0682	 diff_step = 	1598061.1976	 diff = 	5079674.6432	 diff1 = 	5072934.487	 diff2 = 	-0.91097	 diff3 = 	-61.4318	 diff4 = 	-0.017362	 diff5 = 	121.1836	 diff6 = 	54.662	 diff7 = 	6626.6707	 diff8 = 	6681.3327
Iter = 	40	 relative error = 	1.0529	 diff_step = 	270293.7463	 diff = 	4930459.3053	 diff1 = 	4923792.4891	 diff2 = 	-0.90498	 diff3 = 	-61.7848	 diff4 = 	-0.016362	 diff5 = 	129.3495	 diff6 = 	59.354	 diff7 = 	6540.8187	 diff8 = 	6600.1727
Iter = 	60	 relative error = 	1.0477	 diff_step = 	144730.4778	 diff = 	4874784.9421	 diff1 = 	4868200.1391	 diff2 = 	-0.89883	 diff3 = 	-61.7277	 diff4 = 	-0.015784	 diff5 = 	134.3505	 diff6 = 	61.454	 diff7 = 	6451.6409	 diff8 = 	6513.0949
Iter = 	80	 relative error = 	1.0453	 diff_step = 	88737.7285	 diff = 	4849482.5994	 diff1 = 	4842982.8711	 diff2 = 	-0.89247	 diff3 = 	-61.4353	 diff4 = 	-0.0154	 diff5 = 	137.8654	 diff6 = 	62.4925	 diff7 = 	6361.7135	 diff8 = 	6424.206
Iter = 	100	 relative error = 	1.0441	 diff_step = 	58850.7559	 diff = 	4836588.3064	 diff1 = 	4830173.2328	 diff2 = 	-0.8861	 diff3 = 	-61.0558	 diff4 = 	-0.015119	 diff5 = 	140.5315	 diff6 = 	63.0013	 diff7 = 	6273.4978	 diff8 = 	6336.4991
Iter = 	120	 relative error = 	1.0434	 diff_step = 	41350.0471	 diff = 	4829303.5536	 diff1 = 	4822971.4032	 diff2 = 	-0.87978	 diff3 = 	-60.6533	 diff4 = 	-0.0149	 diff5 = 	142.6448	 diff6 = 	63.2194	 diff7 = 	6187.8342	 diff8 = 	6251.0536
Iter = 	140	 relative error = 	1.0429	 diff_step = 	30954.1555	 diff = 	4824811.7717	 diff1 = 	4818560.4298	 diff2 = 	-0.87354	 diff3 = 	-60.2485	 diff4 = 	-0.014719	 diff5 = 	144.3946	 diff6 = 	63.2681	 diff7 = 	6104.816	 diff8 = 	6168.084
Iter = 	160	 relative error = 	1.0425	 diff_step = 	24340.6207	 diff = 	4821877.1421	 diff1 = 	4815704.4663	 diff2 = 	-0.86742	 diff3 = 	-59.8473	 diff4 = 	-0.014564	 diff5 = 	145.9039	 diff6 = 	63.2117	 diff7 = 	6024.2894	 diff8 = 	6087.5011
Iter = 	180	 relative error = 	1.0423	 diff_step = 	19745.7112	 diff = 	4819874.4684	 diff1 = 	4813778.3956	 diff2 = 	-0.86141	 diff3 = 	-59.4524	 diff4 = 	-0.014426	 diff5 = 	147.249	 diff6 = 	63.087	 diff7 = 	5946.0649	 diff8 = 	6009.1519
Iter = 	200	 relative error = 	1.0421	 diff_step = 	16434.6847	 diff = 	4818444.0836	 diff1 = 	4812422.6362	 diff2 = 	-0.85553	 diff3 = 	-59.0649	 diff4 = 	-0.014301	 diff5 = 	148.4759	 diff6 = 	62.9167	 diff7 = 	5869.9896	 diff8 = 	5932.9063
Iter = 	220	 relative error = 	1.0419	 diff_step = 	13978.3473	 diff = 	4817381.993	 diff1 = 	4811433.2752	 diff2 = 	-0.84977	 diff3 = 	-58.6855	 diff4 = 	-0.014187	 diff5 = 	149.6143	 diff6 = 	62.7152	 diff7 = 	5795.9378	 diff8 = 	5858.653
Iter = 	240	 relative error = 	1.0418	 diff_step = 	12092.2181	 diff = 	4816566.4052	 diff1 = 	4810688.5983	 diff2 = 	-0.84413	 diff3 = 	-58.3144	 diff4 = 	-0.014079	 diff5 = 	150.6854	 diff6 = 	62.4922	 diff7 = 	5723.802	 diff8 = 	5786.2941
Iter = 	260	 relative error = 	1.0417	 diff_step = 	10596.6319	 diff = 	4815921.8181	 diff1 = 	4810113.1745	 diff2 = 	-0.83862	 diff3 = 	-57.9513	 diff4 = 	-0.013978	 diff5 = 	151.7043	 diff6 = 	62.2541	 diff7 = 	5653.4892	 diff8 = 	5715.7433
Iter = 	280	 relative error = 	1.0416	 diff_step = 	9382.9006	 diff = 	4815400.3478	 diff1 = 	4809659.1825	 diff2 = 	-0.83321	 diff3 = 	-57.596	 diff4 = 	-0.013882	 diff5 = 	152.6819	 diff6 = 	62.0057	 diff7 = 	5584.9207	 diff8 = 	5646.9264
Iter = 	300	 relative error = 	1.0415	 diff_step = 	8379.1799	 diff = 	4814971.8267	 diff1 = 	4809296.5092	 diff2 = 	-0.82792	 diff3 = 	-57.2478	 diff4 = 	-0.013789	 diff5 = 	153.6262	 diff6 = 	61.7504	 diff7 = 	5518.0303	 diff8 = 	5579.7807
Iter = 	320	 relative error = 	1.0414	 diff_step = 	7527.3233	 diff = 	4814616.0313	 diff1 = 	4809004.9813	 diff2 = 	-0.82274	 diff3 = 	-56.9061	 diff4 = 	-0.0137	 diff5 = 	154.5429	 diff6 = 	61.4905	 diff7 = 	5452.7591	 diff8 = 	5514.2497
Iter = 	340	 relative error = 	1.0414	 diff_step = 	6787.775	 diff = 	4814317.2098	 diff1 = 	4808768.8964	 diff2 = 	-0.81766	 diff3 = 	-56.5704	 diff4 = 	-0.013614	 diff5 = 	155.4362	 diff6 = 	61.228	 diff7 = 	5389.0509	 diff8 = 	5450.2789
Iter = 	360	 relative error = 	1.0413	 diff_step = 	6146.035	 diff = 	4814062.3794	 diff1 = 	4808575.3217	 diff2 = 	-0.81268	 diff3 = 	-56.2401	 diff4 = 	-0.013531	 diff5 = 	156.3094	 diff6 = 	60.9642	 diff7 = 	5326.8505	 diff8 = 	5387.8146
Iter = 	380	 relative error = 	1.0413	 diff_step = 	5589.8828	 diff = 	4813841.928	 diff1 = 	4808414.6951	 diff2 = 	-0.8078	 diff3 = 	-55.915	 diff4 = 	-0.01345	 diff5 = 	157.1654	 diff6 = 	60.7002	 diff7 = 	5266.1036	 diff8 = 	5326.8038
Iter = 	400	 relative error = 	1.0412	 diff_step = 	5098.5401	 diff = 	4813649.1046	 diff1 = 	4808280.3144	 diff2 = 	-0.80301	 diff3 = 	-55.5946	 diff4 = 	-0.013371	 diff5 = 	158.0061	 diff6 = 	60.4368	 diff7 = 	5206.7583	 diff8 = 	5267.1951
Iter = 	420	 relative error = 	1.0412	 diff_step = 	4660.4476	 diff = 	4813478.625	 diff1 = 	4808166.9426	 diff2 = 	-0.79831	 diff3 = 	-55.2789	 diff4 = 	-0.013294	 diff5 = 	158.8334	 diff6 = 	60.1747	 diff7 = 	5148.7648	 diff8 = 	5208.9395
Iter = 	440	 relative error = 	1.0412	 diff_step = 	4270.1597	 diff = 	4813326.2756	 diff1 = 	4808070.411	 diff2 = 	-0.79369	 diff3 = 	-54.9677	 diff4 = 	-0.013219	 diff5 = 	159.6487	 diff6 = 	59.9143	 diff7 = 	5092.0763	 diff8 = 	5151.9906
Iter = 	460	 relative error = 	1.0411	 diff_step = 	3922.0728	 diff = 	4813189.1102	 diff1 = 	4807987.8159	 diff2 = 	-0.78916	 diff3 = 	-54.661	 diff4 = 	-0.013145	 diff5 = 	160.4531	 diff6 = 	59.6559	 diff7 = 	5036.6486	 diff8 = 	5096.3045
Iter = 	480	 relative error = 	1.0411	 diff_step = 	3608.318	 diff = 	4813064.6491	 diff1 = 	4807916.7186	 diff2 = 	-0.7847	 diff3 = 	-54.3586	 diff4 = 	-0.013073	 diff5 = 	161.2477	 diff6 = 	59.4	 diff7 = 	4982.4392	 diff8 = 	5041.8392
Iter = 	500	 relative error = 	1.0411	 diff_step = 	3327.8658	 diff = 	4812950.631	 diff1 = 	4807854.897	 diff2 = 	-0.78033	 diff3 = 	-54.0605	 diff4 = 	-0.013003	 diff5 = 	162.0332	 diff6 = 	59.1466	 diff7 = 	4929.4079	 diff8 = 	4988.5546
Iter = 	520	 relative error = 	1.0411	 diff_step = 	3080.6847	 diff = 	4812845.2509	 diff1 = 	4807800.5834	 diff2 = 	-0.77603	 diff3 = 	-53.7668	 diff4 = 	-0.012933	 diff5 = 	162.8105	 diff6 = 	58.8961	 diff7 = 	4877.5166	 diff8 = 	4936.4126
Iter = 	540	 relative error = 	1.0411	 diff_step = 	2863.8426	 diff = 	4812747.1213	 diff1 = 	4807752.4259	 diff2 = 	-0.7718	 diff3 = 	-53.4772	 diff4 = 	-0.012866	 diff5 = 	163.5802	 diff6 = 	58.6484	 diff7 = 	4826.7287	 diff8 = 	4885.3771
Iter = 	560	 relative error = 	1.041	 diff_step = 	2674.0644	 diff = 	4812655.1539	 diff1 = 	4807709.3702	 diff2 = 	-0.76765	 diff3 = 	-53.1918	 diff4 = 	-0.012799	 diff5 = 	164.3427	 diff6 = 	58.4037	 diff7 = 	4777.0096	 diff8 = 	4835.4133
Iter = 	580	 relative error = 	1.041	 diff_step = 	2506.3655	 diff = 	4812569.116	 diff1 = 	4807671.2164	 diff2 = 	-0.76356	 diff3 = 	-52.9105	 diff4 = 	-0.012734	 diff5 = 	165.0985	 diff6 = 	58.1621	 diff7 = 	4728.3258	 diff8 = 	4786.4879
Iter = 	600	 relative error = 	1.041	 diff_step = 	2348.997	 diff = 	4812488.9829	 diff1 = 	4807637.9715	 diff2 = 	-0.75954	 diff3 = 	-52.6333	 diff4 = 	-0.01267	 diff5 = 	165.8481	 diff6 = 	57.9235	 diff7 = 	4680.6453	 diff8 = 	4738.5688
Iter = 	620	 relative error = 	1.041	 diff_step = 	2200.4601	 diff = 	4812414.0765	 diff1 = 	4807608.9876	 diff2 = 	-0.75558	 diff3 = 	-52.3601	 diff4 = 	-0.012607	 diff5 = 	166.5919	 diff6 = 	57.6878	 diff7 = 	4633.9375	 diff8 = 	4691.6253
Iter = 	640	 relative error = 	1.041	 diff_step = 	2063.7294	 diff = 	4812343.7883	 diff1 = 	4807583.6853	 diff2 = 	-0.75169	 diff3 = 	-52.0909	 diff4 = 	-0.012545	 diff5 = 	167.3303	 diff6 = 	57.455	 diff7 = 	4588.1728	 diff8 = 	4645.6278
Iter = 	660	 relative error = 	1.041	 diff_step = 	1935.197	 diff = 	4812277.7274	 diff1 = 	4807561.7017	 diff2 = 	-0.74785	 diff3 = 	-51.8255	 diff4 = 	-0.012484	 diff5 = 	168.0635	 diff6 = 	57.2251	 diff7 = 	4543.3229	 diff8 = 	4600.548
Iter = 	680	 relative error = 	1.041	 diff_step = 	1811.8051	 diff = 	4812215.4072	 diff1 = 	4807542.5775	 diff2 = 	-0.74408	 diff3 = 	-51.564	 diff4 = 	-0.012424	 diff5 = 	168.7916	 diff6 = 	56.998	 diff7 = 	4499.3605	 diff8 = 	4556.3585
Iter = 	700	 relative error = 	1.041	 diff_step = 	1697.6508	 diff = 	4812156.3488	 diff1 = 	4807525.8596	 diff2 = 	-0.74037	 diff3 = 	-51.3062	 diff4 = 	-0.012365	 diff5 = 	169.515	 diff6 = 	56.7738	 diff7 = 	4456.2594	 diff8 = 	4513.0332
Iter = 	720	 relative error = 	1.041	 diff_step = 	1592.4552	 diff = 	4812100.1759	 diff1 = 	4807511.1968	 diff2 = 	-0.73671	 diff3 = 	-51.0521	 diff4 = 	-0.012307	 diff5 = 	170.2336	 diff6 = 	56.5522	 diff7 = 	4413.9944	 diff8 = 	4470.5466
Iter = 	740	 relative error = 	1.041	 diff_step = 	1495.2001	 diff = 	4812046.5188	 diff1 = 	4807498.2432	 diff2 = 	-0.7331	 diff3 = 	-50.8017	 diff4 = 	-0.012249	 diff5 = 	170.9478	 diff6 = 	56.3335	 diff7 = 	4372.5413	 diff8 = 	4428.8748
