 iteration 1
Iter = 	20	 relative error = 	1.0701	 diff_step = 	1609803.4624	 diff = 	5581130.7885	 diff1 = 	5083213.4733	 diff2 = 	-0.88608	 diff3 = 	-59.7842	 diff4 = 	-0.016785	 diff5 = 	1293.7237	 diff6 = 	490516.9287	 diff7 = 	6167.3499	 diff8 = 	496684.2786
Iter = 	40	 relative error = 	1.0547	 diff_step = 	269086.882	 diff = 	5430335.293	 diff1 = 	4931303.5383	 diff2 = 	-0.85773	 diff3 = 	-58.5275	 diff4 = 	-0.015264	 diff5 = 	1484.1339	 diff6 = 	491934.8206	 diff7 = 	5672.2006	 diff8 = 	497607.0212
Iter = 	60	 relative error = 	1.0493	 diff_step = 	145437.3755	 diff = 	5355183.9046	 diff1 = 	4873534.6485	 diff2 = 	-0.83071	 diff3 = 	-57.0059	 diff4 = 	-0.014229	 diff5 = 	1650.1155	 diff6 = 	474816.9521	 diff7 = 	5240.0394	 diff8 = 	480056.9914
Iter = 	80	 relative error = 	1.0468	 diff_step = 	89883.7644	 diff = 	5306365.4551	 diff1 = 	4846846.6953	 diff2 = 	-0.80505	 diff3 = 	-55.3845	 diff4 = 	-0.013435	 diff5 = 	1805.222	 diff6 = 	452908.2566	 diff7 = 	4861.4841	 diff8 = 	457769.7407
Iter = 	100	 relative error = 	1.0454	 diff_step = 	60098.2511	 diff = 	5269826.4802	 diff1 = 	4833081.652	 diff2 = 	-0.78086	 diff3 = 	-53.794	 diff4 = 	-0.012785	 diff5 = 	1954.8657	 diff6 = 	430316.2354	 diff7 = 	4528.3148	 diff8 = 	434844.5502
Iter = 	120	 relative error = 	1.0446	 diff_step = 	42356.0477	 diff = 	5240059.213	 diff1 = 	4825275.1754	 diff2 = 	-0.75806	 diff3 = 	-52.2813	 diff4 = 	-0.012232	 diff5 = 	2101.4969	 diff6 = 	408502.4725	 diff7 = 	4233.1199	 diff8 = 	412735.5923
Iter = 	140	 relative error = 	1.0441	 diff_step = 	31673.4296	 diff = 	5214610.5995	 diff1 = 	4820455.2357	 diff2 = 	-0.73656	 diff3 = 	-50.8532	 diff4 = 	-0.011749	 diff5 = 	2246.9383	 diff6 = 	387990.3415	 diff7 = 	3969.6855	 diff8 = 	391960.027
Iter = 	160	 relative error = 	1.0436	 diff_step = 	24945.5334	 diff = 	5192269.3726	 diff1 = 	4817277.259	 diff2 = 	-0.71627	 diff3 = 	-49.5052	 diff4 = 	-0.011318	 diff5 = 	2392.5451	 diff6 = 	368916.755	 diff7 = 	3733.0464	 diff8 = 	372649.8014
Iter = 	180	 relative error = 	1.0433	 diff_step = 	20364.6674	 diff = 	5172368.5174	 diff1 = 	4815101.1017	 diff2 = 	-0.69711	 diff3 = 	-48.2315	 diff4 = 	-0.010929	 diff5 = 	2539.2432	 diff6 = 	351257.8536	 diff7 = 	3519.2585	 diff8 = 	354777.1121
Iter = 	200	 relative error = 	1.0431	 diff_step = 	17010.8888	 diff = 	5154449.1689	 diff1 = 	4813553.1929	 diff2 = 	-0.67899	 diff3 = 	-47.0268	 diff4 = 	-0.010573	 diff5 = 	2687.5625	 diff6 = 	334930.971	 diff7 = 	3325.1588	 diff8 = 	338256.1298
Iter = 	220	 relative error = 	1.0429	 diff_step = 	14522.3021	 diff = 	5138183.4228	 diff1 = 	4812409.42	 diff2 = 	-0.66184	 diff3 = 	-45.886	 diff4 = 	-0.010246	 diff5 = 	2837.817	 diff6 = 	319834.5739	 diff7 = 	3148.1699	 diff8 = 	322982.7438
Iter = 	240	 relative error = 	1.0427	 diff_step = 	12612.7173	 diff = 	5123333.6916	 diff1 = 	4811539.3451	 diff2 = 	-0.64556	 diff3 = 	-44.8043	 diff4 = 	-0.0099433	 diff5 = 	2990.214	 diff6 = 	305863.4305	 diff7 = 	2986.1619	 diff8 = 	308849.5924
