 iteration 1
Iter = 	20	 relative error = 	1.069	 diff_step = 	1590503.054	 diff = 	5196195.7651	 diff1 = 	5077305.2767	 diff2 = 	-0.95819	 diff3 = 	-64.5452	 diff4 = 	-0.018447	 diff5 = 	110934.3565	 diff6 = 	598.2368	 diff7 = 	7423.4169	 diff8 = 	8021.6538
Iter = 	40	 relative error = 	1.0536	 diff_step = 	266021.3087	 diff = 	5046045.2394	 diff1 = 	4927981.2919	 diff2 = 	-1.0008	 diff3 = 	-68.1353	 diff4 = 	-0.018465	 diff5 = 	109205.9654	 diff6 = 	711.1911	 diff7 = 	8215.9456	 diff8 = 	8927.1368
Iter = 	60	 relative error = 	1.0483	 diff_step = 	141948.7257	 diff = 	4987180.1244	 diff1 = 	4872047.1954	 diff2 = 	-1.0423	 diff3 = 	-71.2619	 diff4 = 	-0.018851	 diff5 = 	105369.2716	 diff6 = 	800.4617	 diff7 = 	9035.5187	 diff8 = 	9835.9805
Iter = 	80	 relative error = 	1.0459	 diff_step = 	86935.3074	 diff = 	4958132.4624	 diff1 = 	4846351.3159	 diff2 = 	-1.082	 diff3 = 	-74.0311	 diff4 = 	-0.019392	 diff5 = 	101105.6988	 diff6 = 	878.9854	 diff7 = 	9871.595	 diff8 = 	10750.5803
Iter = 	100	 relative error = 	1.0446	 diff_step = 	57758.3362	 diff = 	4941505.0072	 diff1 = 	4832980.1814	 diff2 = 	-1.1198	 diff3 = 	-76.5749	 diff4 = 	-0.020005	 diff5 = 	96932.0408	 diff6 = 	951.2069	 diff7 = 	10719.2928	 diff8 = 	11670.4997
Iter = 	120	 relative error = 	1.0438	 diff_step = 	40896.5666	 diff = 	4930814.2255	 diff1 = 	4825280.0136	 diff2 = 	-1.1558	 diff3 = 	-78.963	 diff4 = 	-0.020649	 diff5 = 	93021.4141	 diff6 = 	1019.093	 diff7 = 	11573.8443	 diff8 = 	12592.9373
Iter = 	140	 relative error = 	1.0433	 diff_step = 	30822.9857	 diff = 	4923346.3049	 diff1 = 	4820476.4216	 diff2 = 	-1.1901	 diff3 = 	-81.2214	 diff4 = 	-0.021299	 diff5 = 	89438.4393	 diff6 = 	1083.6015	 diff7 = 	12430.2753	 diff8 = 	13513.8768
Iter = 	160	 relative error = 	1.0429	 diff_step = 	24299.229	 diff = 	4917867.4207	 diff1 = 	4817328.6766	 diff2 = 	-1.2227	 diff3 = 	-83.3587	 diff4 = 	-0.021943	 diff5 = 	86194.6239	 diff6 = 	1145.1808	 diff7 = 	13283.5427	 diff8 = 	14428.7235
Iter = 	180	 relative error = 	1.0426	 diff_step = 	19747.1729	 diff = 	4913690.2979	 diff1 = 	4815169.9259	 diff2 = 	-1.2535	 diff3 = 	-85.379	 diff4 = 	-0.022573	 diff5 = 	83274.1442	 diff6 = 	1204.0567	 diff7 = 	14128.8262	 diff8 = 	15332.8829
Iter = 	200	 relative error = 	1.0424	 diff_step = 	16502.8859	 diff = 	4910407.1904	 diff1 = 	4813622.9527	 diff2 = 	-1.2827	 diff3 = 	-87.2855	 diff4 = 	-0.023183	 diff5 = 	80650.8044	 diff6 = 	1260.3502	 diff7 = 	14961.6744	 diff8 = 	16222.0246
Iter = 	220	 relative error = 	1.0422	 diff_step = 	14094.5181	 diff = 	4907775.6139	 diff1 = 	4812477.767	 diff2 = 	-1.3101	 diff3 = 	-89.0814	 diff4 = 	-0.023771	 diff5 = 	78296.1352	 diff6 = 	1314.1134	 diff7 = 	15778.0135	 diff8 = 	17092.1269
Iter = 	240	 relative error = 	1.042	 diff_step = 	12228.9371	 diff = 	4905636.6152	 diff1 = 	4811606.5922	 diff2 = 	-1.336	 diff3 = 	-90.7693	 diff4 = 	-0.024333	 diff5 = 	76182.6162	 diff6 = 	1365.368	 diff7 = 	16574.1684	 diff8 = 	17939.5364
Iter = 	260	 relative error = 	1.0419	 diff_step = 	10746.6659	 diff = 	4903879.2423	 diff1 = 	4810927.1218	 diff2 = 	-1.3602	 diff3 = 	-92.3518	 diff4 = 	-0.024869	 diff5 = 	74284.8354	 diff6 = 	1414.1277	 diff7 = 	17346.8942	 diff8 = 	18761.022
Iter = 	280	 relative error = 	1.0418	 diff_step = 	9538.0573	 diff = 	4902424.6197	 diff1 = 	4810386.2654	 diff2 = 	-1.3829	 diff3 = 	-93.8317	 diff4 = 	-0.025377	 diff5 = 	72579.7848	 diff6 = 	1460.4061	 diff7 = 	18093.4033	 diff8 = 	19553.8095
Iter = 	300	 relative error = 	1.0417	 diff_step = 	8531.8927	 diff = 	4901215.4399	 diff1 = 	4809949.5976	 diff2 = 	-1.4041	 diff3 = 	-95.2123	 diff4 = 	-0.025857	 diff5 = 	71046.8713	 diff6 = 	1504.2245	 diff7 = 	18811.3888	 diff8 = 	20315.6133
Iter = 	320	 relative error = 	1.0416	 diff_step = 	7679.3828	 diff = 	4900208.7231	 diff1 = 	4809594.2671	 diff2 = 	-1.4238	 diff3 = 	-96.4968	 diff4 = 	-0.02631	 diff5 = 	69667.7685	 diff6 = 	1545.614	 diff7 = 	19499.0205	 diff8 = 	21044.6345
Iter = 	340	 relative error = 	1.0416	 diff_step = 	6944.9944	 diff = 	4899369.9541	 diff1 = 	4809303.3467	 diff2 = 	-1.4422	 diff3 = 	-97.6889	 diff4 = 	-0.026734	 diff5 = 	68426.2267	 diff6 = 	1584.6159	 diff7 = 	20154.9225	 diff8 = 	21739.5384
Iter = 	360	 relative error = 	1.0415	 diff_step = 	6303.8624	 diff = 	4898670.3266	 diff1 = 	4809063.3082	 diff2 = 	-1.4591	 diff3 = 	-98.7925	 diff4 = 	-0.027132	 diff5 = 	67307.8674	 diff6 = 	1621.2818	 diff7 = 	20778.148	 diff8 = 	22399.4298
Iter = 	380	 relative error = 	1.0414	 diff_step = 	5743.7524	 diff = 	4898085.7359	 diff1 = 	4808863.2602	 diff2 = 	-1.4748	 diff3 = 	-99.8117	 diff4 = 	-0.027504	 diff5 = 	66299.9616	 diff6 = 	1655.6741	 diff7 = 	21368.154	 diff8 = 	23023.8281
Iter = 	400	 relative error = 	1.0414	 diff_step = 	5246.1193	 diff = 	4897597.2987	 diff1 = 	4808695.7166	 diff2 = 	-1.4893	 diff3 = 	-100.7506	 diff4 = 	-0.027851	 diff5 = 	65391.2222	 diff6 = 	1687.863	 diff7 = 	21924.7648	 diff8 = 	23612.6278
Iter = 	420	 relative error = 	1.0414	 diff_step = 	4799.1579	 diff = 	4897188.7564	 diff1 = 	4808554.2158	 diff2 = 	-1.5027	 diff3 = 	-101.6137	 diff4 = 	-0.028173	 diff5 = 	64571.6228	 diff6 = 	1717.9261	 diff7 = 	22448.1363	 diff8 = 	24166.0624
