 iteration 1
Iter = 	20	 relative error = 	1.0685	 diff_step = 	1598472.4928	 diff = 	5147581.4599	 diff1 = 	5074354.1073	 diff2 = 	-0.91301	 diff3 = 	-61.568	 diff4 = 	-0.017405	 diff5 = 	12086.2437	 diff6 = 	54550.3606	 diff7 = 	6653.2467	 diff8 = 	61203.6073
Iter = 	40	 relative error = 	1.0532	 diff_step = 	269508.6141	 diff = 	5003665.1168	 diff1 = 	4924947.7296	 diff2 = 	-0.90939	 diff3 = 	-62.0681	 diff4 = 	-0.016445	 diff5 = 	12874.0713	 diff6 = 	59309.6025	 diff7 = 	6596.7073	 diff8 = 	65906.3098
Iter = 	60	 relative error = 	1.0479	 diff_step = 	144292.8157	 diff = 	4950473.3015	 diff1 = 	4869128.7725	 diff2 = 	-0.90559	 diff3 = 	-62.1652	 diff4 = 	-0.015905	 diff5 = 	13340.3724	 diff6 = 	61529.0119	 diff7 = 	6538.2314	 diff8 = 	68067.2433
Iter = 	80	 relative error = 	1.0455	 diff_step = 	88454.3184	 diff = 	4926517.5735	 diff1 = 	4843732.0008	 diff2 = 	-0.90153	 diff3 = 	-62.0276	 diff4 = 	-0.015558	 diff5 = 	13654.0245	 diff6 = 	62714.8891	 diff7 = 	6479.6038	 diff8 = 	69194.4929
Iter = 	100	 relative error = 	1.0443	 diff_step = 	58664.152	 diff = 	4914405.5391	 diff1 = 	4830777.5034	 diff2 = 	-0.89743	 diff3 = 	-61.8018	 diff4 = 	-0.015314	 diff5 = 	13879.8112	 diff6 = 	63388.0995	 diff7 = 	6422.8395	 diff8 = 	69810.939
Iter = 	120	 relative error = 	1.0435	 diff_step = 	41229.0586	 diff = 	4907602.6644	 diff1 = 	4823467.0937	 diff2 = 	-0.89336	 diff3 = 	-61.5517	 diff4 = 	-0.015131	 diff5 = 	14048.1786	 diff6 = 	63781.3435	 diff7 = 	6368.5088	 diff8 = 	70149.8523
Iter = 	140	 relative error = 	1.043	 diff_step = 	30859.2608	 diff = 	4903419.8218	 diff1 = 	4818974.8223	 diff2 = 	-0.88934	 diff3 = 	-61.298	 diff4 = 	-0.014987	 diff5 = 	14178.6435	 diff6 = 	64012.0266	 diff7 = 	6316.5318	 diff8 = 	70328.5584
Iter = 	160	 relative error = 	1.0427	 diff_step = 	24268.2916	 diff = 	4900687.1824	 diff1 = 	4816056.439	 diff2 = 	-0.8854	 diff3 = 	-61.0463	 diff4 = 	-0.014868	 diff5 = 	14283.9058	 diff6 = 	64142.1375	 diff7 = 	6266.6466	 diff8 = 	70408.7841
Iter = 	180	 relative error = 	1.0424	 diff_step = 	19690.451	 diff = 	4898816.6258	 diff1 = 	4814081.187	 diff2 = 	-0.88155	 diff3 = 	-60.799	 diff4 = 	-0.014767	 diff5 = 	14371.8395	 diff6 = 	64206.6962	 diff7 = 	6218.5984	 diff8 = 	70425.2946
Iter = 	200	 relative error = 	1.0422	 diff_step = 	16397.6052	 diff = 	4897470.4117	 diff1 = 	4812685.0588	 diff2 = 	-0.87779	 diff3 = 	-60.5575	 diff4 = 	-0.014678	 diff5 = 	14447.2235	 diff6 = 	64227.3829	 diff7 = 	6172.1964	 diff8 = 	70399.5793
Iter = 	220	 relative error = 	1.042	 diff_step = 	13959.1965	 diff = 	4896459.7811	 diff1 = 	4811662.6118	 diff2 = 	-0.87413	 diff3 = 	-60.3223	 diff4 = 	-0.014599	 diff5 = 	14513.1902	 diff6 = 	64217.8957	 diff7 = 	6127.2944	 diff8 = 	70345.1901
Iter = 	240	 relative error = 	1.0419	 diff_step = 	12085.1325	 diff = 	4895672.72	 diff1 = 	4810890.7174	 diff2 = 	-0.87057	 diff3 = 	-60.0935	 diff4 = 	-0.014527	 diff5 = 	14571.9438	 diff6 = 	64187.2616	 diff7 = 	6083.7759	 diff8 = 	70271.0374
Iter = 	260	 relative error = 	1.0418	 diff_step = 	10596.0787	 diff = 	4895040.4236	 diff1 = 	4810292.9382	 diff2 = 	-0.86711	 diff3 = 	-59.8711	 diff4 = 	-0.014461	 diff5 = 	14625.0677	 diff6 = 	64141.6235	 diff7 = 	6041.5469	 diff8 = 	70183.1704
Iter = 	280	 relative error = 	1.0417	 diff_step = 	9381.9857	 diff = 	4894519.5066	 diff1 = 	4809820.4716	 diff2 = 	-0.86373	 diff3 = 	-59.6548	 diff4 = 	-0.0144	 diff5 = 	14673.7071	 diff6 = 	64085.328	 diff7 = 	6000.5328	 diff8 = 	70085.8608
Iter = 	300	 relative error = 	1.0416	 diff_step = 	8375.5864	 diff = 	4894082.6643	 diff1 = 	4809442.0507	 diff2 = 	-0.86044	 diff3 = 	-59.444	 diff4 = 	-0.014342	 diff5 = 	14718.6966	 diff6 = 	64021.5604	 diff7 = 	5960.6754	 diff8 = 	69982.2358
Iter = 	320	 relative error = 	1.0415	 diff_step = 	7524.2577	 diff = 	4893711.9805	 diff1 = 	4809136.877	 diff2 = 	-0.85724	 diff3 = 	-59.2382	 diff4 = 	-0.014287	 diff5 = 	14760.6475	 diff6 = 	63952.6393	 diff7 = 	5921.9264	 diff8 = 	69874.5657
Iter = 	340	 relative error = 	1.0415	 diff_step = 	6787.3344	 diff = 	4893393.8042	 diff1 = 	4808889.1907	 diff2 = 	-0.85411	 diff3 = 	-59.0368	 diff4 = 	-0.014235	 diff5 = 	14800.0173	 diff6 = 	63880.2592	 diff7 = 	5884.2422	 diff8 = 	69764.5014
Iter = 	360	 relative error = 	1.0414	 diff_step = 	6144.8398	 diff = 	4893116.6937	 diff1 = 	4808685.9308	 diff2 = 	-0.85107	 diff3 = 	-58.8393	 diff4 = 	-0.014186	 diff5 = 	14837.1639	 diff6 = 	63805.7233	 diff7 = 	5847.5803	 diff8 = 	69653.3036
Iter = 	380	 relative error = 	1.0414	 diff_step = 	5589.5827	 diff = 	4892871.7891	 diff1 = 	4808516.9693	 diff2 = 	-0.84809	 diff3 = 	-58.6455	 diff4 = 	-0.014138	 diff5 = 	14872.3741	 diff6 = 	63730.0538	 diff7 = 	5811.8996	 diff8 = 	69541.9534
Iter = 	400	 relative error = 	1.0413	 diff_step = 	5099.0147	 diff = 	4892653.2018	 diff1 = 	4808375.4685	 diff2 = 	-0.84519	 diff3 = 	-58.4551	 diff4 = 	-0.014092	 diff5 = 	14905.8814	 diff6 = 	63654.0053	 diff7 = 	5777.161	 diff8 = 	69431.1663
Iter = 	420	 relative error = 	1.0413	 diff_step = 	4661.3755	 diff = 	4892456.2153	 diff1 = 	4808255.9902	 diff2 = 	-0.84235	 diff3 = 	-58.2678	 diff4 = 	-0.014048	 diff5 = 	14937.8766	 diff6 = 	63578.1452	 diff7 = 	5743.3275	 diff8 = 	69321.4727
Iter = 	440	 relative error = 	1.0413	 diff_step = 	4269.8885	 diff = 	4892277.17	 diff1 = 	4808154.3143	 diff2 = 	-0.83958	 diff3 = 	-58.0836	 diff4 = 	-0.014005	 diff5 = 	14968.5151	 diff6 = 	63502.9128	 diff7 = 	5710.3651	 diff8 = 	69213.2779
Iter = 	460	 relative error = 	1.0412	 diff_step = 	3920.4151	 diff = 	4892113.2944	 diff1 = 	4808067.2214	 diff2 = 	-0.83688	 diff3 = 	-57.9025	 diff4 = 	-0.013963	 diff5 = 	14997.9269	 diff6 = 	63428.6576	 diff7 = 	5678.2419	 diff8 = 	69106.8995
Iter = 	480	 relative error = 	1.0412	 diff_step = 	3605.7429	 diff = 	4891962.4974	 diff1 = 	4807992.2924	 diff2 = 	-0.83423	 diff3 = 	-57.7243	 diff4 = 	-0.013923	 diff5 = 	15026.2217	 diff6 = 	63355.6281	 diff7 = 	5646.9277	 diff8 = 	69002.5558
Iter = 	500	 relative error = 	1.0412	 diff_step = 	3323.0058	 diff = 	4891822.7444	 diff1 = 	4807927.2207	 diff2 = 	-0.83164	 diff3 = 	-57.5492	 diff4 = 	-0.013884	 diff5 = 	15053.4952	 diff6 = 	63284.0291	 diff7 = 	5616.3942	 diff8 = 	68900.4233
Iter = 	520	 relative error = 	1.0412	 diff_step = 	3071.6944	 diff = 	4891692.4477	 diff1 = 	4807870.1939	 diff2 = 	-0.82911	 diff3 = 	-57.3769	 diff4 = 	-0.013847	 diff5 = 	15079.83	 diff6 = 	63214.0291	 diff7 = 	5586.6146	 diff8 = 	68800.6437
Iter = 	540	 relative error = 	1.0412	 diff_step = 	2850.9337	 diff = 	4891570.2655	 diff1 = 	4807819.692	 diff2 = 	-0.82664	 diff3 = 	-57.2076	 diff4 = 	-0.01381	 diff5 = 	15105.298	 diff6 = 	63145.7597	 diff7 = 	5557.5639	 diff8 = 	68703.3236
Iter = 	560	 relative error = 	1.0411	 diff_step = 	2658.9113	 diff = 	4891455.171	 diff1 = 	4807774.549	 diff2 = 	-0.82421	 diff3 = 	-57.0412	 diff4 = 	-0.013774	 diff5 = 	15129.9621	 diff6 = 	63079.3211	 diff7 = 	5529.2181	 diff8 = 	68608.5391
Iter = 	580	 relative error = 	1.0411	 diff_step = 	2489.0307	 diff = 	4891346.8983	 diff1 = 	4807734.4231	 diff2 = 	-0.82184	 diff3 = 	-56.8777	 diff4 = 	-0.013739	 diff5 = 	15153.8762	 diff6 = 	63014.7576	 diff7 = 	5501.5546	 diff8 = 	68516.3122
Iter = 	600	 relative error = 	1.0411	 diff_step = 	2330.3543	 diff = 	4891245.5322	 diff1 = 	4807699.4145	 diff2 = 	-0.81952	 diff3 = 	-56.717	 diff4 = 	-0.013705	 diff5 = 	15177.0934	 diff6 = 	62952.0229	 diff7 = 	5474.5517	 diff8 = 	68426.5746
