 iteration 1
Iter = 	20	 relative error = 	1.0443	 diff_step = 	1989656.3154	 diff = 	4830579.0824	 diff1 = 	4823602.5133	 diff2 = 	-0.93625	 diff3 = 	-63.2272	 diff4 = 	-0.017961	 diff5 = 	1.2906	 diff6 = 	8.487	 diff7 = 	7030.9729	 diff8 = 	7039.4599
Iter = 	40	 relative error = 	1.0248	 diff_step = 	305253.1297	 diff = 	4634633.3727	 diff1 = 	4627741.0269	 diff2 = 	-0.92997	 diff3 = 	-63.6348	 diff4 = 	-0.016939	 diff5 = 	1.4001	 diff6 = 	9.2952	 diff7 = 	6946.2322	 diff8 = 	6955.5274
Iter = 	60	 relative error = 	1.017	 diff_step = 	176708.0483	 diff = 	4553508.1492	 diff1 = 	4546710.031	 diff2 = 	-0.92356	 diff3 = 	-63.6182	 diff4 = 	-0.016353	 diff5 = 	1.4652	 diff6 = 	9.6716	 diff7 = 	6851.5396	 diff8 = 	6861.2111
Iter = 	80	 relative error = 	1.0129	 diff_step = 	116771.646	 diff = 	4513232.8347	 diff1 = 	4506531.7448	 diff2 = 	-0.91691	 diff3 = 	-63.3992	 diff4 = 	-0.015948	 diff5 = 	1.5104	 diff6 = 	9.87	 diff7 = 	6754.0416	 diff8 = 	6763.9116
Iter = 	100	 relative error = 	1.0104	 diff_step = 	82763.7706	 diff = 	4490593.273	 diff1 = 	4483988.4095	 diff2 = 	-0.91022	 diff3 = 	-63.0997	 diff4 = 	-0.015645	 diff5 = 	1.5441	 diff6 = 	9.9765	 diff7 = 	6657.3685	 diff8 = 	6667.3449
Iter = 	120	 relative error = 	1.0088	 diff_step = 	62313.6133	 diff = 	4476577.4239	 diff1 = 	4470066.688	 diff2 = 	-0.90355	 diff3 = 	-62.7614	 diff4 = 	-0.015407	 diff5 = 	1.5708	 diff6 = 	10.031	 diff7 = 	6562.8145	 diff8 = 	6572.8455
Iter = 	140	 relative error = 	1.0075	 diff_step = 	48804.3187	 diff = 	4467314.2381	 diff1 = 	4460895.1839	 diff2 = 	-0.89693	 diff3 = 	-62.396	 diff4 = 	-0.015213	 diff5 = 	1.5928	 diff6 = 	10.0538	 diff7 = 	6470.7158	 diff8 = 	6480.7696
Iter = 	160	 relative error = 	1.0065	 diff_step = 	39573.4022	 diff = 	4460846.7658	 diff1 = 	4454516.9285	 diff2 = 	-0.89039	 diff3 = 	-62.0119	 diff4 = 	-0.015047	 diff5 = 	1.6117	 diff6 = 	10.0563	 diff7 = 	6381.0866	 diff8 = 	6391.143
Iter = 	180	 relative error = 	1.0058	 diff_step = 	32809.4547	 diff = 	4456236.3302	 diff1 = 	4449993.3349	 diff2 = 	-0.88394	 diff3 = 	-61.6165	 diff4 = 	-0.014899	 diff5 = 	1.6283	 diff6 = 	10.0452	 diff7 = 	6293.8371	 diff8 = 	6303.8823
Iter = 	200	 relative error = 	1.0052	 diff_step = 	27331.7244	 diff = 	4452978.9429	 diff1 = 	4446820.5097	 diff2 = 	-0.8776	 diff3 = 	-61.2158	 diff4 = 	-0.014766	 diff5 = 	1.6434	 diff6 = 	10.0242	 diff7 = 	6208.8738	 diff8 = 	6218.898
Iter = 	220	 relative error = 	1.0047	 diff_step = 	22848.0086	 diff = 	4450617.0988	 diff1 = 	4444541.0457	 diff2 = 	-0.87137	 diff3 = 	-60.8147	 diff4 = 	-0.014644	 diff5 = 	1.6574	 diff6 = 	9.9962	 diff7 = 	6126.1002	 diff8 = 	6136.0965
Iter = 	240	 relative error = 	1.0043	 diff_step = 	19447.842	 diff = 	4448826.3898	 diff1 = 	4442830.6159	 diff2 = 	-0.86525	 diff3 = 	-60.4158	 diff4 = 	-0.01453	 diff5 = 	1.6704	 diff6 = 	9.9635	 diff7 = 	6045.4356	 diff8 = 	6055.3991
