 iteration 1
Iter = 	20	 relative error = 	1.0742	 diff_step = 	1497494.6609	 diff = 	5161116.2313	 diff1 = 	5154648.8736	 diff2 = 	-0.90422	 diff3 = 	-60.8571	 diff4 = 	-0.017376	 diff5 = 	1.1872	 diff6 = 	4.8069	 diff7 = 	6523.1423	 diff8 = 	6527.9492
Iter = 	40	 relative error = 	1.0599	 diff_step = 	261448.9358	 diff = 	5023575.9317	 diff1 = 	5017195.839	 diff2 = 	-0.89829	 diff3 = 	-61.1693	 diff4 = 	-0.016413	 diff5 = 	1.2616	 diff6 = 	5.2027	 diff7 = 	6435.7122	 diff8 = 	6440.915
Iter = 	60	 relative error = 	1.0552	 diff_step = 	135447.6547	 diff = 	4974586.841	 diff1 = 	4968296.6644	 diff2 = 	-0.89214	 diff3 = 	-61.0794	 diff4 = 	-0.015857	 diff5 = 	1.3073	 diff6 = 	5.375	 diff7 = 	6345.4816	 diff8 = 	6350.8566
Iter = 	80	 relative error = 	1.0532	 diff_step = 	80093.3425	 diff = 	4953123.6512	 diff1 = 	4946923.1399	 diff2 = 	-0.88576	 diff3 = 	-60.756	 diff4 = 	-0.015488	 diff5 = 	1.3397	 diff6 = 	5.4582	 diff7 = 	6255.3707	 diff8 = 	6260.8288
Iter = 	100	 relative error = 	1.0521	 diff_step = 	52484.633	 diff = 	4942224.7773	 diff1 = 	4936111.5732	 diff2 = 	-0.87937	 diff3 = 	-60.3502	 diff4 = 	-0.015214	 diff5 = 	1.3646	 diff6 = 	5.4982	 diff7 = 	6167.5861	 diff8 = 	6173.0844
Iter = 	120	 relative error = 	1.0515	 diff_step = 	36977.6976	 diff = 	4936090.3883	 diff1 = 	4930061.5269	 diff2 = 	-0.87304	 diff3 = 	-59.9257	 diff4 = 	-0.014995	 diff5 = 	1.3847	 diff6 = 	5.515	 diff7 = 	6082.7755	 diff8 = 	6088.2905
Iter = 	140	 relative error = 	1.0511	 diff_step = 	27514.3264	 diff = 	4932370.2038	 diff1 = 	4926422.8067	 diff2 = 	-0.86683	 diff3 = 	-59.5031	 diff4 = 	-0.014813	 diff5 = 	1.4015	 diff6 = 	5.5178	 diff7 = 	6000.8626	 diff8 = 	6006.3804
Iter = 	160	 relative error = 	1.0508	 diff_step = 	21236.656	 diff = 	4929970.3515	 diff1 = 	4924101.7787	 diff2 = 	-0.86074	 diff3 = 	-59.0892	 diff4 = 	-0.014656	 diff5 = 	1.4161	 diff6 = 	5.5121	 diff7 = 	5921.6091	 diff8 = 	5927.1212
Iter = 	180	 relative error = 	1.0506	 diff_step = 	16865.6467	 diff = 	4928340.8897	 diff1 = 	4922548.7302	 diff2 = 	-0.85478	 diff3 = 	-58.6865	 diff4 = 	-0.014517	 diff5 = 	1.4292	 diff6 = 	5.5008	 diff7 = 	5844.7853	 diff8 = 	5850.286
Iter = 	200	 relative error = 	1.0504	 diff_step = 	13710.2317	 diff = 	4927186.8152	 diff1 = 	4921468.856	 diff2 = 	-0.84896	 diff3 = 	-58.296	 diff4 = 	-0.01439	 diff5 = 	1.4412	 diff6 = 	5.4857	 diff7 = 	5770.1916	 diff8 = 	5775.6774
Iter = 	220	 relative error = 	1.0503	 diff_step = 	11355.2361	 diff = 	4926342.0697	 diff1 = 	4920696.2675	 diff2 = 	-0.84327	 diff3 = 	-57.9173	 diff4 = 	-0.014273	 diff5 = 	1.4523	 diff6 = 	5.4682	 diff7 = 	5697.6567	 diff8 = 	5703.1248
